Nº chamada;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual
2020-11336759-6;02/07/2020 09:37;AVENIDA FRANCISCO CAMPOS, Nº 76 - CENTRO - ESTRELA DO INDAIA;-19.522.006;-457.868.665;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;02/07/2020 17:24
2020-11337554-9;02/07/2020 10:49;AVENIDA FRANCISCO CAMPOS, Nº 767 - CENTRO - DORES DO INDAIA;-194.625.391;-456.035.738;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21360;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;02/07/2020 17:24
2020-11338155-9;02/07/2020 11:44;PRACA DOUTOR AMADOR ALVARES, Nº 151 - CENTRO - ABAETE;-191.573.678;-454.460.844;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;23123;Não;Não;Não;RAT;Classificada;02/07/2020 15:07
2020-11339578-8;02/07/2020 14:11;ALAMEDA CORONEL FULGENCIO, Nº S/N - VILA MILITAR - BOM DESPACHO;-197.315.017;-452.546.914;X01000 - SUPERVISAO (C) (Prioridade: 3 - Baixa);50 CIA PM/7 BPM/7 RPM;21231;Não;Não;Não;RAT;Classificada;02/07/2020 17:26
2020-11339720-7;02/07/2020 14:19;RUA JOAQUIM MACHADO, Nº 48 - CENTRO - ESTRELA DO INDAIA;-195.224.303;-457.865.784;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;02/07/2020 17:24
2020-11340071-3;02/07/2020 14:39;AVENIDA JONAS PIRES, Nº 26 - DORES DO INDAIA;;;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21360;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;02/07/2020 17:24
2020-11344038-0;02/07/2020 18:59;AVENIDA PALMEIRAS, Nº S/N - ROSARIO - BOM DESPACHO;-197.454.521;-452.654.981;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);50 CIA PM/7 BPM/7 RPM;23016;Não;Não;Não;RAT;Classificada;02/07/2020 21:59
2020-11346103-0;02/07/2020 21:41;AVENIDA FRANCISCO CAMPOS, Nº 256 - CENTRO - ESTRELA DO INDAIA;-195.221.848;-457.852.219;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;RAT;Classificada;02/07/2020 21:43
2020-11346134-4;02/07/2020 21:45;AVENIDA DONA EUGENIA, Nº 377 - CENTRO - QUARTEL GERAL;-19.271.998;-455.558.021;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25683;Não;Não;Não;RAT;Classificada;02/07/2020 21:46
2020-11350379-5;03/07/2020 09:39;PRACA GETULIO VARGAS, Nº 21 - CENTRO - DORES DO INDAIA;-194.601.004;-456.018.211;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;18264;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11350412-9;03/07/2020 09:40;PRACA PREFEITO MARIO CARNEIRO, Nº 25 - CENTRO - DORES DO INDAIA;-194.610.711;-456.026.076;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;18264;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11350622-1;03/07/2020 09:59;AVENIDA FRANCISCO CAMPOS, Nº 76 - CENTRO - ESTRELA DO INDAIA;-19.522.006;-457.868.665;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11350746-4;03/07/2020 10:11;RUA FRANCISCO FERNANDES, Nº 110 - CENTRO - QUARTEL GERAL;-192.725.923;-455.553.524;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;24347;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11351006-3;03/07/2020 10:36;RUA JADER MOURA, Nº 333 - CENTRO - ABAETE;-191.569.869;-454.452.186;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;23123;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11351221-6;03/07/2020 10:57;PRACA ADEMAR RIBEIRO DE OLIVEIRA, Nº 29 - CENTRO - SERRA DA SAUDADE;-194.396.661;-457.908.549;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;20890;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11351224-4;03/07/2020 10:58;RUA LUIZ ALFREDO RICARDO, Nº 9 - CENTRO - SERRA DA SAUDADE;-194.388.443;-457.947.033;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;20890;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:07
2020-11356222-6;03/07/2020 17:34;AVENIDA MINAS GERAIS, Nº 253 - CENTRO - MARAVILHAS;-195.143.011;-446.751.025;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);2 GP/4 PEL/19 CIA PM IND/7 RPM;PM1202480;Não;Não;Não;RAT;Classificada;03/07/2020 17:40
2020-11358338-1;03/07/2020 20:04;AVENIDA PEDRO ALVES, Nº 229 - SAO PEDRO - ABAETE;-191.724.489;-454.366.834;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25927;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 09:06
2020-11365093-6;04/07/2020 08:58;RUA FORMIGA, Nº 114 - CENTRO - ARCOS;-202.907.821;-455.432.007;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);241 CIA PM/63 BPM/7 RPM;SGTJOAOBAT;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 16:07
2020-11365135-4;04/07/2020 09:05;RUA PARAIBA, Nº 38 - CENTRO - DORES DO INDAIA;-194.621.444;-456.016.117;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;18264;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 14:00
2020-11365401-6;04/07/2020 09:34;RUA DELFIM MOREIRA, Nº 45 - CENTRO - PARA DE MINAS;-198.602.406;-446.083.856;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);19 CIA PM IND/7 RPM;20902;Não;Não;Não;RAT;Classificada;04/07/2020 17:42
2020-11366881-9;04/07/2020 12:38;FAZENDA NOVO HORIZONTE, Nº S/N - BIQUINHAS;-18.729.366;-456.878.769;Y15010 - ACAO/OPERACAO EM ZONA RURAL (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21230;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 14:01
2020-11367584-9;04/07/2020 14:00;PRACA PROFESSOR WALDEMAR DE ALMEIDA BARBOSA, Nº 26 - CENTRO - DORES DO INDAIA;-194.694.443;-456.076.597;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;18264;Não;Não;Não;RAT;Classificada;04/07/2020 14:00
2020-11368725-4;04/07/2020 15:28;RUA CORONEL ANTONIO NORBERTO SANTOS, Nº 2023 - ABAETE;-191.568.367;-45.457.324;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;23123;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 16:44
2020-11369146-2;04/07/2020 15:58;DISTRITO BAIOES, Nº S/N - FORMIGA;-206.131.859;-453.252.792;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);63 BPM/7 RPM;LEOM-679;Não;Não;Não;RAT;Classificada;04/07/2020 17:42
2020-11370195-5;04/07/2020 17:12;AVENIDA FRANCISCO CAMPOS, Nº 76 - CENTRO - ESTRELA DO INDAIA;-19.522.006;-457.868.665;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;04/07/2020 17:46
2020-11373332-0;04/07/2020 20:41;RUA DOM PEDRO I, Nº 160 - CENTRO - ESTRELA DO INDAIA;-195.189.359;-457.938.222;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;RAT;Classificada;04/07/2020 20:41
2020-11373336-1;04/07/2020 20:43;AVENIDA DONA EUGENIA, Nº 377 - CENTRO - QUARTEL GERAL;-19.271.998;-455.558.021;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25683;Não;Não;Não;RAT;Classificada;04/07/2020 20:43
2020-11376096-6;04/07/2020 23:39;TRAVESSA MARIA HELENA SANTANA, Nº 50 - MARIA FERNANDA 2 - LAGOA DA PRATA;-200.259.759;-455.180.706;E08042 - PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS (C) (Prioridade: 3 - Baixa);107 CIA PM/7 BPM/7 RPM;24679;Não;Não;Não;W04000-NADA CONSTATADO;Classificada;05/07/2020 01:12
2020-11376232-2;04/07/2020 23:47;AVENIDA FRANCISCO CAMPOS, Nº 2 - CENTRO - ESTRELA DO INDAIA;-195.217.984;-457.875.443;Y15010 - ACAO/OPERACAO EM ZONA RURAL (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;RAT;Classificada;04/07/2020 23:48
2020-11376384-0;04/07/2020 23:57;DISTRITO INDUSTRIAL, Nº S/N - LAGOA DA PRATA;-200.021.232;-455.159.814;E08042 - PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS (C) (Prioridade: 3 - Baixa);107 CIA PM/7 BPM/7 RPM;25744 / 24679;Não;Não;Não;TRANS-TRANSMITIDO A REDE;Classificada;05/07/2020 04:01
2020-11381037-6;05/07/2020 10:18;PRACA AFONSO PENA, Nº 30 - CENTRO - PARA DE MINAS;-198.595.084;-446.083.528;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);19 CIA PM IND/7 RPM;21939;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;05/07/2020 17:24
2020-11385088-9;05/07/2020 16:54;RUA MATO GROSSO, Nº 1800 - AFONSO PENA - DIVINOPOLIS;-201.317.291;-448.905.678;X02000 - FISCALIZACAO (C) (Prioridade: 1 - Alta);23 BPM/7 RPM;BANDA;Não;Não;Não;RAT;Classificada;05/07/2020 23:14
2020-11389058-0;05/07/2020 21:18;RUA DOM PEDRO I, Nº 160 - CENTRO - ESTRELA DO INDAIA;-195.189.359;-457.938.222;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;RAT / BOLETIM DE OCORRENCIA;Classificada;06/07/2020 08:40
2020-11390092-5;05/07/2020 22:37;RUA SAO VICENTE DE PAULA, Nº S/N - PITANGUI;;;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);1 GP/3 PEL/280 CIA PM/60 BPM/7 RPM;PITANGUI;Não;Não;Não;RAT;Classificada;05/07/2020 23:55
2020-11390397-2;05/07/2020 23:09;AVENIDA DONA EUGENIA, Nº 377 - CENTRO - QUARTEL GERAL;-19.271.998;-455.558.021;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25683;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;06/07/2020 08:41
2020-11390553-6;05/07/2020 23:24;PRACA AFONSO PENA, Nº 30 - CENTRO - PARA DE MINAS;-198.595.084;-446.083.528;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);19 CIA PM IND/7 RPM;18501;Não;Não;Não;RAT;Classificada;06/07/2020 05:46
2020-11392975-8;06/07/2020 08:13;RUA JADER MOURA, Nº 310 - CENTRO - ABAETE;-191.567.459;-454.451.197;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;23123;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 00:32
2020-11393019-1;06/07/2020 08:16;PRACA GETULIO VARGAS, Nº 24 - CENTRO - DORES DO INDAIA;-194.601.963;-456.014.138;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21360;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;06/07/2020 16:30
2020-11393496-0;06/07/2020 09:01;RUA MATO GROSSO, Nº 1800 - AFONSO PENA - DIVINOPOLIS;-201.317.291;-448.905.678;X01000 - SUPERVISAO (C) (Prioridade: 3 - Baixa);23 BPM/7 RPM;TENCAMILO;Não;Não;Não;RAT;Classificada;06/07/2020 17:07
2020-11393652-4;06/07/2020 09:16;RUA FRANCISCO FERNANDES, Nº 110 - CENTRO - QUARTEL GERAL;-192.725.923;-455.553.524;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;24347;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;06/07/2020 16:30
2020-11395354-7;06/07/2020 11:41;AVENIDA FRANCISCO CAMPOS, Nº 767 - CENTRO - DORES DO INDAIA;-194.625.391;-456.035.738;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21360;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;06/07/2020 16:30
2020-11396224-7;06/07/2020 13:20;PRACA PROFESSOR WALDEMAR DE ALMEIDA BARBOSA, Nº 25 - DORES DO INDAIA;-194.694.915;-45.608.005;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21360;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;06/07/2020 16:31
2020-11397164-2;06/07/2020 14:30;PRACA ADEMAR RIBEIRO DE OLIVEIRA, Nº S/N - CENTRO - SERRA DA SAUDADE;-194.394.768;-457.918.681;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;20890;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;06/07/2020 16:31
2020-11398961-6;06/07/2020 16:25;RUA LUIZ ALFREDO RICARDO, Nº 9 - CENTRO - SERRA DA SAUDADE;-194.388.443;-457.947.033;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;20890;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 02:41
2020-11399190-3;06/07/2020 16:39;AVENIDA PEDRO ALVES, Nº 570 - SAO PEDRO - ABAETE;-191.726.124;-454.360.863;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;23123;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 00:33
2020-11401750-2;06/07/2020 19:43;RUA DOM PEDRO I, Nº 160 - CENTRO - ESTRELA DO INDAIA;-195.189.359;-457.938.222;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;RAT;Classificada;06/07/2020 20:57
2020-11402761-4;06/07/2020 21:10;PRACA IRMA ALBUQUERQUE, Nº S/N - CENTRO - BOM DESPACHO;-197.337.204;-452.507.341;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);50 CIA PM/7 BPM/7 RPM;28072;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 03:12
2020-11403330-8;06/07/2020 22:06;ALAMEDA CORONEL FULGENCIO, Nº S/N - VILA MILITAR - BOM DESPACHO;-197.315.017;-452.546.914;X02000 - FISCALIZACAO (C) (Prioridade: 1 - Alta);7 BPM/7 RPM;28586;Não;Não;Não;RAT;Classificada;07/07/2020 04:06
2020-11406083-7;07/07/2020 08:04;PRACA GETULIO VARGAS, Nº 21 - CENTRO - DORES DO INDAIA;-194.601.004;-456.018.211;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;18264;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 22:06
2020-11406088-0;07/07/2020 08:06;PRACA PREFEITO MARIO CARNEIRO, Nº 26 - CENTRO - DORES DO INDAIA;;;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;18264;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 22:05
2020-11407375-8;07/07/2020 10:06;RUA JOSE GUIMARAES, Nº 132 - DANILO PASSOS I - DIVINOPOLIS;-201.213.793;-448.760.521;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28686;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 10:37
2020-11408152-9;07/07/2020 11:15;RUA MINAS GERAIS, Nº 700 - CENTRO - BIQUINHAS;-187.815.633;-455.071.635;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;21351;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 22:05
2020-11409122-3;07/07/2020 13:04;PRACA DOUTOR AMADOR ALVARES, Nº 151 - CENTRO - ABAETE;-191.573.678;-454.460.844;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;23123;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 22:05
2020-11412334-0;07/07/2020 16:35;AVENIDA FRANCISCO CAMPOS, Nº 76 - CENTRO - ESTRELA DO INDAIA;-19.522.006;-457.868.665;A21003 - VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;07/07/2020 22:06
2020-11416604-4;07/07/2020 21:59;AVENIDA DONA EUGENIA, Nº 377 - CENTRO - QUARTEL GERAL;-19.271.998;-455.558.021;A21000 - ACOES PREVENTIVAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25683;Não;Não;Não;RAT;Classificada;07/07/2020 22:05
2020-11416928-6;07/07/2020 22:30;RUA DOM PEDRO I, Nº 160 - CENTRO - ESTRELA DO INDAIA;-195.189.359;-457.938.222;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;RAT;Classificada;07/07/2020 22:33
2020-11420487-6;08/07/2020 09:16;AVENIDA DOM CABRAL, Nº 95 - JARDIM DO LAGO - NOVA SERRANA;-198.785.227;-449.876.604;Y10008 - COBERTURA POLICIAL A PREFEITURAS (C) (Prioridade: 3 - Baixa);60 BPM/7 RPM;RP-28572;Não;Não;Não;RAT;Classificada;08/07/2020 11:25
2020-11428357-4;08/07/2020 19:40;RUA LUIZ MACHADO, Nº 100 - CENTRO - SERRA DA SAUDADE;-194.386.719;-457.946.161;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;20890;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;09/07/2020 05:29
2020-11428538-9;08/07/2020 19:56;RUA DOM PEDRO I, Nº 161 - CENTRO - ESTRELA DO INDAIA;-195.189.251;-457.936.389;Y15001 - PATRULHA ESCOLAR / PATRULHA DE PREVENCAO AS DROGAS (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25701;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;09/07/2020 05:29
