Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Data Fato;Horário Fato;Município;Situação Veículo;Tipo Veículo;Ano Modelo;Marca / Modelo;Qtde Veículos
2019-000030220-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;01/01/2019;08:08:34;ITAUNA;APREENDIDO;AUTOMOVEL;2008;FIAT/PALIO ELX FLEX;1
2019-000033671-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;01/01/2019;09:45:07;NOVA SERRANA;RECUPERADO;MOTOCICLETA;2004;HONDA/XR 250 TORNADO;1
2019-000045425-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;01/01/2019;12:13:28;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;2013;VW/VOYAGE 1.6;1
2019-000049661-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01180;CONSUMADO;01/01/2019;13:54:53;LAGOA DA PRATA;APREENDIDO;AUTOMOVEL;1997;VW/GOL I;1
2019-000053224-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;A16000;CONSUMADO;01/01/2019;15:01:30;LAGOA DA PRATA;RECUPERADO;AUTOMOVEL;2003;FIAT/PALIO FIRE;1
2019-000065649-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;T01311;CONSUMADO;01/01/2019;15:42:54;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;1993;FIAT/UNO MILLE ELX;1
2019-000066630-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;01/01/2019;14:16:34;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;2009;HONDA/CIVIC LXS FLEX;1
2019-000069465-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;E08034;CONSUMADO;01/01/2019;17:39:41;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2014;HONDA/CG 125 FAN KS;1
2019-000075055-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;01/01/2019;18:00:00;CORREGO FUNDO;APREENDIDO;MOTOCICLETA;2011;HONDA/CB 300R;1
2019-000081262-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;I04033;CONSUMADO;01/01/2019;19:00:00;POMPEU;APREENDIDO;MOTOCICLETA;2008;HONDA/CG 125 FAN;1
2019-000092563-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T00009;CONSUMADO;01/01/2019;21:33:45;NOVA SERRANA;APREENDIDO;MOTOCICLETA;;HONDA/CG 150 FAN ESI;1
2019-000092914-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;T10306;CONSUMADO;01/01/2019;21:10:00;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2006;HONDA/CG 150 TITAN ESD;1
2019-000093990-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;01/01/2019;21:33:44;NOVA SERRANA;FURTADO;AUTOMOVEL;2017;FIAT/STRADA HD WK CC E;1
2019-000097813-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;01/01/2019;22:07:38;NOVA SERRANA;FURTADO;MOTOCICLETA;2011;YAMAHA/FACTOR YBR125 ED;1
2019-000104087-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;C01155;CONSUMADO;01/01/2019;23:23:10;FORMIGA;FURTADO;MOTOCICLETA;2006;HONDA/NXR150 BROS ES;1
2019-000113890-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;02/01/2019;01:39:00;DIVINOPOLIS;FURTADO;AUTOMOVEL;2000;FIAT/PALIO ELX;1
2019-000114509-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;02/01/2019;01:10:02;BOM DESPACHO;FURTADO;AUTOMOVEL;1989;FIAT/UNO;1
2019-000119633-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;T10161;CONSUMADO;02/01/2019;05:01:55;FORMIGA;APREENDIDO;AUTOMOVEL;1997;FIAT/TEMPRA SX;1
2019-000128753-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;02/01/2019;08:33:06;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2000;HONDA/CG 125 TITAN KS;1
2019-000133611-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;02/01/2019;09:05:00;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2002;HONDA/CBX 250 TWISTER;1
2019-000133678-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;02/01/2019;09:15:10;PARA DE MINAS;APREENDIDO;MOTONETA;2014;HONDA/BIZ 125 ES;1
2019-000138116-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;02/01/2019;07:54:18;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;1999;FIAT/UNO MILLE EX;1
2019-000155728-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;02/01/2019;11:39:56;ITAUNA;APREENDIDO;AUTOMOVEL;2014;I/FORD FIESTA SD 1.6LTI;1
2019-000161621-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;02/01/2019;12:30:24;ITAUNA;APREENDIDO;AUTOMOVEL;2010;HONDA/CG150 TITAN MIX ES;1
2019-000164352-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;02/01/2019;12:51:19;BOM DESPACHO;FURTADO;MOTOCICLETA;2015;HONDA/XRE 300;1
2019-000165084-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;02/01/2019;12:05:14;DIVINOPOLIS;FURTADO;MOTOCICLETA;2002;HONDA/CG 125 TITAN KS;1
2019-000195485-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04028;CONSUMADO;02/01/2019;15:53:29;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2011;HONDA/CG 150 FAN ESI;1
2019-000195970-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;02/01/2019;15:30:00;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2008;HONDA/CG 150 TITAN KS;1
2019-000199819-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;A16000;CONSUMADO;02/01/2019;16:10:58;PARA DE MINAS;RECUPERADO;MOTOCICLETA;2003;HONDA/CG 125 TITAN KS;1
2019-000225377-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;A16000;CONSUMADO;02/01/2019;16:39:18;BOM DESPACHO;RECUPERADO;AUTOMOVEL;1989;FIAT/UNO;1
2019-000241880-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;02/01/2019;19:51:26;ARCOS;APREENDIDO;MOTOCICLETA;2003;HONDA/CG 125 TITAN KS;1
2019-000241930-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;C01155;CONSUMADO;02/01/2019;19:48:56;ARCOS;FURTADO;MOTOCICLETA;2012;YAMAHA/XTZ 125E;1
2019-000244282-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;02/01/2019;21:12:55;BOM DESPACHO;APREENDIDO;AUTOMOVEL;2012;FIAT/SIENA ESSENC 1.6 DL;1
2019-000245521-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;02/01/2019;19:30:00;CORREGO FUNDO;APREENDIDO;AUTOMOVEL;1997;FIAT/UNO MILLE SX;1
2019-000253230-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;02/01/2019;22:27:18;ITAUNA;ROUBADO;MOTOCICLETA;2008;HONDA/NX-4 FALCON;1
2019-000255107-001;POLICIA MILITAR;INVÁLIDO;279 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;02/01/2019;22:39:32;NOVA SERRANA;RECUPERADO;MOTOCICLETA;2011;YAMAHA/FACTOR YBR125 ED;1
2019-000262992-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;E03014;CONSUMADO;03/01/2019;00:00:05;ITAUNA;APREENDIDO;MOTOCICLETA;;NAO INFORMADO;1
2019-000262992-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;E03014;CONSUMADO;03/01/2019;00:00:05;ITAUNA;RECUPERADO;MOTOCICLETA;;NAO INFORMADO;1
2019-000266492-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;02/01/2019;19:35:00;POMPEU;APREENDIDO;AUTOMOVEL;2000;GM/ASTRA GL;1
2019-000270973-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T00008;CONSUMADO;03/01/2019;01:20:00;BAMBUI;APREENDIDO;AUTOMOVEL;;VW/GOL 1.0 GIV;1
2019-000272095-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;00:52:52;ARCOS;APREENDIDO;MOTOCICLETA;1998;YAMAHA/RD 135;1
2019-000272117-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;02:12:37;ARCOS;APREENDIDO;AUTOMOVEL;1993;FIAT/UNO MILLE;1
2019-000283972-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;08:03:45;ABAETE;APREENDIDO;AUTOMOVEL;1991;FIAT/PREMIO SL 1.6;1
2019-000286688-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;T00009;CONSUMADO;03/01/2019;08:34:27;NOVA SERRANA;APREENDIDO;MOTOCICLETA;;HONDA/CG 150 TITAN KS;1
2019-000290190-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;09:05:11;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;2013;VW/NOVO GOL 1.0;1
2019-000290780-001;POLICIA MILITAR;INVÁLIDO;19 CIA PM IND/7 RPM;A16000;CONSUMADO;03/01/2019;07:53:15;PARA DE MINAS;RECUPERADO;AUTOMOVEL;2009;TOYOTA/COROLLA XEI18FLEX;1
2019-000292581-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;09:22:49;ITAUNA;APREENDIDO;AUTOMOVEL;1990;FIAT/UNO S;1
2019-000293965-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;03/01/2019;09:01:26;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;2014;FIAT/PALIO WK ADVEN FLEX;1
2019-000299919-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;10:12:59;NOVA SERRANA;APREENDIDO;AUTOMOVEL;2012;VW/GOL 1.0;1
2019-000303596-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;10:36:32;ITAUNA;APREENDIDO;AUTOMOVEL;2019;I/FORD RANGER XLSCD4A22C;1
2019-000305539-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;10:48:02;ITAUNA;APREENDIDO;AUTOMOVEL;2010;VW/CROSSFOX;1
2019-000310544-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;11:17:56;ITAUNA;APREENDIDO;AUTOMOVEL;2014;VW/FOX 1.6 GII;1
2019-000318237-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;12:20:59;ITAUNA;APREENDIDO;AUTOMOVEL;2002;PEUGEOT/206 SOLEIL;1
2019-000318882-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;03/01/2019;09:35:00;IGARATINGA;APREENDIDO;CAMINHONETE;1998;FORD/F1000 HSD XL;1
2019-000322129-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;I04033;CONSUMADO;03/01/2019;11:58:02;DIVINOPOLIS;RECUPERADO;MOTOCICLETA;2007;YAMAHA/YBR 125K;1
2019-000328380-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;03/01/2019;09:30:00;CLAUDIO;FURTADO;MOTOCICLETA;2008;YAMAHA/YBR 125K;1
2019-000330047-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;03/01/2019;13:54:54;BOM DESPACHO;FURTADO;MOTOCICLETA;2009;YAMAHA/FACTOR YBR125 K;1
2019-000333157-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;T01311;CONSUMADO;03/01/2019;13:20:00;CLAUDIO;APREENDIDO;MOTOCICLETA;2008;JTA/SUZUKI EN125 YES;1
2019-000342800-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;03/01/2019;14:41:02;DIVINOPOLIS;ROUBADO;AUTOMOVEL;2014;VW/NOVO GOL 1.0;1
2019-000355460-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;A99000;CONSUMADO;03/01/2019;14:00:00;CONCEICAO DO PARA;APREENDIDO;AUTOMOVEL;;NAO INFORMADO;2
2019-000359378-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;03/01/2019;16:05:09;PITANGUI;RECUPERADO;MOTOCICLETA;2011;HONDA/NXR150 BROS ES;1
2019-000359378-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;03/01/2019;16:05:09;PITANGUI;RECUPERADO;MOTOCICLETA;2016;HONDA/NXR160 BROS ESDD;1
2019-000364342-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;A16000;CONSUMADO;03/01/2019;16:23:18;FORMIGA;APREENDIDO;MOTOCICLETA;2006;HONDA/NXR150 BROS ES;1
2019-000370798-001;POLICIA MILITAR;4 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;03/01/2019;16:28:00;SANTO ANTONIO DO MONTE;FURTADO;AUTOMOVEL;2016;I/TOYOTA HILUX CDSRVA4FD;1
2019-000371028-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;17:08:00;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2008;HONDA/CG 125 FAN;1
2019-000375602-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;03/01/2019;17:33:17;LAGOA DA PRATA;FURTADO;MOTOCICLETA;2008;HONDA/CG 125 FAN;1
2019-000378227-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;03/01/2019;17:28:24;DIVINOPOLIS;FURTADO;AUTOMOVEL;2010;FIAT/PALIO ELX FLEX;1
2019-000378359-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T00009;CONSUMADO;03/01/2019;17:48:10;ITAUNA;APREENDIDO;MOTOCICLETA;;HONDA/LEAD 110;1
2019-000380975-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;17:50:05;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;1999;I/FIAT MAREA WEEK ELX;1
2019-000383154-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;03/01/2019;17:58:52;DIVINOPOLIS;FURTADO;AUTOMOVEL;1998;VW/GOL 16V;1
2019-000389662-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T01311;CONSUMADO;03/01/2019;18:46:14;ARAUJOS;APREENDIDO;MOTOCICLETA;1987;HONDA/CG 125;1
2019-000390115-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;03/01/2019;16:38:56;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;1991;FIAT/UNO CS;1
2019-000398228-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;B01150;CONSUMADO;03/01/2019;20:01:10;FORMIGA;APREENDIDO;MOTOCICLETA;;NAO INFORMADO;1
2019-000399250-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;I04028;CONSUMADO;03/01/2019;19:30:00;LUZ;APREENDIDO;MOTOCICLETA;;NAO INFORMADO;1
2019-000407352-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;E08034;CONSUMADO;03/01/2019;19:45:00;ITAPECERICA;APREENDIDO;AUTOMOVEL;2007;FIAT/STRADA ADVENT FLEX;1
2019-000416197-001;POLICIA MILITAR;INVÁLIDO;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;03/01/2019;22:03:02;NOVA SERRANA;FURTADO;MOTOCICLETA;2016;HONDA/XRE 300;1
2019-000416745-001;POLICIA MILITAR;INVÁLIDO;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;03/01/2019;21:47:48;NOVA SERRANA;ROUBADO;MOTOCICLETA;2016;HONDA/CG 160 FAN ESDI;1
2019-000418309-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;23:02:38;ABAETE;APREENDIDO;AUTOMOVEL;2014;FIAT/STRADA WORKING;1
2019-000425103-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;23:00:00;CORREGO FUNDO;APREENDIDO;AUTOMOVEL;2011;VW/GOL 1.0;1
2019-000426136-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;03/01/2019;19:45:00;POMPEU;APREENDIDO;MOTOCICLETA;2004;HONDA/C100 BIZ ES;1
2019-000430162-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;00:20:00;POMPEU;APREENDIDO;MOTONETA;2005;HONDA/C100 BIZ;1
2019-000432265-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;03/01/2019;23:20:00;NOVA SERRANA;RECUPERADO;AUTOMOVEL;2012;FIAT/PALIO ATTRACTIV 1.0;1
2019-000451757-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;08:48:46;DIVINOPOLIS;APREENDIDO;CAMINHONETE;2007;VW/SAVEIRO 1.6 SUPERSURF;1
2019-000452749-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;08:58:06;ITAUNA;APREENDIDO;AUTOMOVEL;2010;FIAT/SIENA EL FLEX;1
2019-000455610-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;04/01/2019;09:19:11;LAGOA DA PRATA;FURTADO;AUTOMOVEL;1990;VW/PARATI GL;1
2019-000456788-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;09:28:16;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2007;HONDA/CG 125 FAN;1
2019-000459515-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;09:46:19;ITAUNA;APREENDIDO;AUTOMOVEL;2008;VW/GOL 1.0;1
2019-000465685-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;10:28:08;ITAUNA;APREENDIDO;AUTOMOVEL;2010;FIAT/PALIO FIRE ECONOMY;1
2019-000467985-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;10:43:03;ITAUNA;APREENDIDO;MOTOCICLETA;2007;HONDA/CG 150 SPORT;1
2019-000473092-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;11:16:33;ITAUNA;APREENDIDO;AUTOMOVEL;2002;FIAT/PALIO EX;1
2019-000473092-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;11:16:33;ITAUNA;APREENDIDO;REBOQUE;1991;R/FABRICACAO PROPRIA;1
2019-000477285-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;11:45:13;ITAUNA;APREENDIDO;AUTOMOVEL;2015;HYUNDAI/HB20 1.0M COMFOR;1
2019-000478944-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;04/01/2019;11:58:36;ITAUNA;APREENDIDO;AUTOMOVEL;2019;FIAT/TORO VOLCANO AT D4;1
2019-000479977-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;A16000;CONSUMADO;04/01/2019;11:39:47;BOM DESPACHO;RECUPERADO;CAMINHONETE;2006;FIAT/STRADA FIRE CE FLEX;1
