Código Grupo Tipo Material;Descrição Longa Grupo Tipo Material;Código Tipo Material;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Valor
300;BEBIDA;399;OUTROS - BEBIDA;DUZIA;12
300;BEBIDA;399;OUTROS - BEBIDA;CENTO;100
300;BEBIDA;399;OUTROS - BEBIDA;MILHEIRO;1000
300;BEBIDA;399;OUTROS - BEBIDA;PREENCHIMENTO OPCIONAL;1
400;CARREGAMENTO;401;CARGA DE BEBIDAS;METRO;100
400;CARREGAMENTO;401;CARGA DE BEBIDAS;METRO QUADRADO;1
400;CARREGAMENTO;401;CARGA DE BEBIDAS;LITRO;1000
400;CARREGAMENTO;401;CARGA DE BEBIDAS;GRAMA;1
400;CARREGAMENTO;401;CARGA DE BEBIDAS;QUILOGRAMA;1000
400;CARREGAMENTO;401;CARGA DE BEBIDAS;TONELADA;100000
400;CARREGAMENTO;401;CARGA DE BEBIDAS;UNIDADE;1
400;CARREGAMENTO;401;CARGA DE BEBIDAS;DUZIA;12
400;CARREGAMENTO;401;CARGA DE BEBIDAS;CENTO;100
400;CARREGAMENTO;401;CARGA DE BEBIDAS;MILHEIRO;1000
400;CARREGAMENTO;401;CARGA DE BEBIDAS;PREENCHIMENTO OPCIONAL;1
400;CARREGAMENTO;402;CARGA DE CIGARROS;MILIMETRO;0.001
400;CARREGAMENTO;402;CARGA DE CIGARROS;METRO CARVAO;3000
400;CARREGAMENTO;402;CARGA DE CIGARROS;QUILOGRAMA;1000
400;CARREGAMENTO;402;CARGA DE CIGARROS;TONELADA;100000
400;CARREGAMENTO;402;CARGA DE CIGARROS;UNIDADE;1
400;CARREGAMENTO;402;CARGA DE CIGARROS;DUZIA;12
400;CARREGAMENTO;402;CARGA DE CIGARROS;CENTO;100
400;CARREGAMENTO;402;CARGA DE CIGARROS;MILHEIRO;1000
400;CARREGAMENTO;402;CARGA DE CIGARROS;PREENCHIMENTO OPCIONAL;1
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;CENTIMETRO;1
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;METRO;100
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;LITRO;1000
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;QUILOGRAMA;1000
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;UNIDADE;1
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;DUZIA;12
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;CENTO;100
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;MILHEIRO;1000
400;CARREGAMENTO;403;CARGA DE DERIVADOS DE PETROLEO;PREENCHIMENTO OPCIONAL;1
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;CENTIMETRO;1
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;METRO;100
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;METRO QUADRADO;1
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;ESTEREO;1
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;QUILOGRAMA;1000
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;UNIDADE;1
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;MILHEIRO;1000
400;CARREGAMENTO;404;CARGA DE ELETRO-ELETRONICOS;PREENCHIMENTO OPCIONAL;1
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;CENTIMETRO;1
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;METRO QUADRADO;1
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;LITRO;1000
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;QUILOGRAMA;1000
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;UNIDADE;1
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;DUZIA;12
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;CENTO;100
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;MILHEIRO;1000
400;CARREGAMENTO;405;CARGA DE MEDICAMENTOS;PREENCHIMENTO OPCIONAL;1
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;METRO;100
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;METRO QUADRADO;1
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;METRO CUBICO;3000
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;LITRO;1000
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;ESTEREO;1
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;METRO CARVAO;3000
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;GRAMA;1
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;QUILOGRAMA;1000
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;TONELADA;100000
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;UNIDADE;1
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;DUZIA;12
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;CENTO;100
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;MILHEIRO;1000
400;CARREGAMENTO;499;OUTROS - CARREGAMENTOS;PREENCHIMENTO OPCIONAL;1
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;METRO CUBICO;3000
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;LITRO;1000
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;MILIGRAMA;0.001
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;QUILOGRAMA;1000
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;UNIDADE;1
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;CENTO;100
600;COMBUSTIVEL / DERIVADO DE PETROLEO;699;OUTROS - COMBUSTIVEL / DERIVADO DE PETROLEO;PREENCHIMENTO OPCIONAL;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);MILIMETRO;0.001
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);CENTIMETRO;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);METRO;100
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);QUILOMETRO;1000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);METRO QUADRADO;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);ARE;1000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);QUILOMETRO QUADRADO;1000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);METRO CUBICO;3000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);LITRO;1000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);ESTEREO;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);QUILATE;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);GRAMA;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);QUILOGRAMA;1000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);TONELADA;100000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);ARROBA;15000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);UNIDADE;1
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);DUZIA;12
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);CENTO;100
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);MILHEIRO;1000
700;DINHEIRO / MOEDA;701;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;1
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;CENTIMETRO;1
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;QUILATE;1
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;GRAMA;1
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;UNIDADE;1
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;DUZIA;12
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;CENTO;100
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;MILHEIRO;1000
700;DINHEIRO / MOEDA;702;MOEDA ESTRANGEIRA;PREENCHIMENTO OPCIONAL;1
700;DINHEIRO / MOEDA;799;OUTROS - TIPOS DE MOEDAS;GRAMA;1
700;DINHEIRO / MOEDA;799;OUTROS - TIPOS DE MOEDAS;UNIDADE;1
700;DINHEIRO / MOEDA;799;OUTROS - TIPOS DE MOEDAS;DUZIA;12
700;DINHEIRO / MOEDA;799;OUTROS - TIPOS DE MOEDAS;CENTO;100
700;DINHEIRO / MOEDA;799;OUTROS - TIPOS DE MOEDAS;MILHEIRO;1000
700;DINHEIRO / MOEDA;799;OUTROS - TIPOS DE MOEDAS;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;MILIMETRO;0.001
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;METRO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;QUILOMETRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;LITRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;QUILATE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;GRAMA;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;QUILOGRAMA;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;TONELADA;100000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;901;TELEFONE;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;MILIMETRO;0.001
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;METRO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;QUILOMETRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;METRO QUADRADO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;ARE;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;HECTARE;10000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;QUILOMETRO QUADRADO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;METRO CUBICO;3000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;LITRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;ESTEREO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;METRO CARVAO;3000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;QUILATE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;MILIGRAMA;0.001
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;GRAMA;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;QUILOGRAMA;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;TONELADA;100000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;ARROBA;15000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;UNIDADES QUANTITATIVAS;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;MILHEIRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;902;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;METRO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;QUILOGRAMA;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;MILHEIRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;903;BIP;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;METRO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;QUILOMETRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;ESTEREO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;QUILOGRAMA;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;MILHEIRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;904;RADIO;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;METRO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;QUILOMETRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;METRO QUADRADO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;GRAMA;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;QUILOGRAMA;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;MILHEIRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;905;GPS;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;906;ACESSORIO DE TELEFONE CELULAR - CARREGADOR/BATERIA/FONE;GRAMA;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;906;ACESSORIO DE TELEFONE CELULAR - CARREGADOR/BATERIA/FONE;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;906;ACESSORIO DE TELEFONE CELULAR - CARREGADOR/BATERIA/FONE;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;906;ACESSORIO DE TELEFONE CELULAR - CARREGADOR/BATERIA/FONE;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;906;ACESSORIO DE TELEFONE CELULAR - CARREGADOR/BATERIA/FONE;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;907;CHIP DE APARELHO CELULAR;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;907;CHIP DE APARELHO CELULAR;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;907;CHIP DE APARELHO CELULAR;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;907;CHIP DE APARELHO CELULAR;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;907;CHIP DE APARELHO CELULAR;MILHEIRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;907;CHIP DE APARELHO CELULAR;PREENCHIMENTO OPCIONAL;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;MILIMETRO;0.001
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;CENTIMETRO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;METRO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;METRO QUADRADO;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;ARE;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;METRO CUBICO;3000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;QUILATE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;GRAMA;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;QUILOGRAMA;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;UNIDADE;1
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;DUZIA;12
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;CENTO;100
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;MILHEIRO;1000
900;EQUIPAMENTOS DE COMUNICACAO / LOCALIZACAO;999;OUTROS - TIPOS DE EQUIP COMUNICACAO / LOCALIZACAO;PREENCHIMENTO OPCIONAL;1
1000;EQUIPAMENTOS DE SEGURANCA;1099;OUTROS - EQUIPAMENTOS DE SEGURANCA;MILIMETRO;0.001
1000;EQUIPAMENTOS DE SEGURANCA;1099;OUTROS - EQUIPAMENTOS DE SEGURANCA;METRO;100
1000;EQUIPAMENTOS DE SEGURANCA;1099;OUTROS - EQUIPAMENTOS DE SEGURANCA;METRO QUADRADO;1
1000;EQUIPAMENTOS DE SEGURANCA;1099;OUTROS - EQUIPAMENTOS DE SEGURANCA;HECTARE;10000
1000;EQUIPAMENTOS DE SEGURANCA;1099;OUTROS - EQUIPAMENTOS DE SEGURANCA;METRO CUBICO;3000
