Número REDS,Data Fato
2018-002218718-001,1/16/2018
2018-002219255-001,1/16/2018
2018-002222170-001,1/16/2018
2018-002224966-001,1/16/2018
2018-002230989-001,1/16/2018
2018-002231102-001,1/16/2018
2018-002243921-001,1/16/2018
2018-002286290-001,1/16/2018
2018-002306224-001,1/16/2018
2018-002345613-001,1/16/2018
2018-002518052-001,1/16/2018
2018-002348749-001,1/17/2018
2018-002349022-001,1/17/2018
2018-002355017-001,1/17/2018
2018-002404914-001,1/17/2018
2018-002416934-001,1/17/2018
2018-002439246-001,1/17/2018
2018-002469465-001,1/17/2018
2018-002486133-001,1/17/2018
2018-002516614-001,1/17/2018
2018-002517255-001,1/17/2018
2018-002486240-001,1/18/2018
2018-002519921-001,1/18/2018
2018-002532632-001,1/18/2018
2018-002542170-001,1/18/2018
2018-002574480-001,1/18/2018
2018-002600492-001,1/18/2018
2018-002609675-001,1/18/2018
2018-002668015-001,1/19/2018
2018-002686779-001,1/19/2018
2018-002700956-001,1/19/2018
2018-002720929-001,1/19/2018
2018-002723556-001,1/19/2018
2018-002730075-001,1/19/2018
2018-002741454-001,1/19/2018
2018-002745803-001,1/19/2018
2018-002746955-001,1/19/2018
2018-002765152-001,1/19/2018
2018-004374412-001,1/19/2018
2018-002824178-001,1/20/2018
2018-002827836-001,1/20/2018
2018-002833558-001,1/20/2018
2018-002843330-001,1/20/2018
2018-002872661-001,1/20/2018
2018-002896266-001,1/20/2018
2018-002897496-001,1/20/2018
2018-002898750-001,1/20/2018
2018-002919275-001,1/20/2018
2018-002927795-001,1/21/2018
2018-002932954-001,1/21/2018
2018-002954534-001,1/21/2018
2018-002969021-001,1/21/2018
2018-003022959-001,1/21/2018
2018-003025573-001,1/21/2018
2018-003055491-001,1/22/2018
2018-003067756-001,1/22/2018
2018-003080649-001,1/22/2018
2018-003082860-001,1/22/2018
2018-003095502-001,1/22/2018
2018-003108334-001,1/22/2018
2018-003146352-001,1/22/2018
2018-003199955-001,1/22/2018
2018-003200936-001,1/22/2018
2018-003215568-001,1/22/2018
2018-003244334-001,1/22/2018
2018-003232490-001,1/23/2018
2018-003243277-001,1/23/2018
2018-003289840-001,1/23/2018
2018-003307906-001,1/23/2018
2018-003343308-001,1/23/2018
2018-003406754-001,1/23/2018
2018-003748074-001,1/23/2018
2018-005602860-001,1/23/2018
2018-007886267-001,1/23/2018
2018-003396666-001,1/24/2018
2018-003399161-001,1/24/2018
2018-003401749-001,1/24/2018
2018-003408571-001,1/24/2018
2018-003411835-001,1/24/2018
2018-003422309-001,1/24/2018
2018-003430214-001,1/24/2018
2018-003446299-001,1/24/2018
2018-003489827-001,1/24/2018
2018-003497011-001,1/24/2018
2018-003514077-001,1/24/2018
2018-003582299-001,1/24/2018
2018-003628155-001,1/24/2018
2018-003798331-001,1/24/2018
2018-003562937-001,1/25/2018
2018-003569049-001,1/25/2018
2018-003591519-001,1/25/2018
2018-003607541-001,1/25/2018
2018-003635499-001,1/25/2018
2018-003669099-001,1/25/2018
2018-003685100-001,1/25/2018
2018-003686629-001,1/25/2018
2018-003739829-001,1/25/2018
2018-003743946-001,1/25/2018
2018-004322600-001,1/25/2018
2018-004397185-001,1/25/2018
2018-003751219-001,1/26/2018
2018-003758537-001,1/26/2018
2018-003809976-001,1/26/2018
2018-003812049-001,1/26/2018
2018-003813056-001,1/26/2018
2018-003844793-001,1/26/2018
2018-003854234-001,1/26/2018
2018-003862137-001,1/26/2018
2018-003862362-001,1/26/2018
2018-003906769-001,1/26/2018
2018-004691763-001,1/26/2018
2018-002612900-001,1/27/2018
2018-002956310-001,1/27/2018
2018-003905212-001,1/27/2018
2018-003917050-001,1/27/2018
2018-003923650-001,1/27/2018
2018-003923781-001,1/27/2018
2018-003952727-001,1/27/2018
2018-003965269-001,1/27/2018
2018-003971570-001,1/27/2018
2018-003971946-001,1/27/2018
2018-003973895-001,1/27/2018
2018-003976676-001,1/27/2018
2018-003988824-001,1/27/2018
2018-004006050-001,1/27/2018
2018-004239696-001,1/27/2018
2018-004491745-001,1/27/2018
2018-004004274-001,1/28/2018
2018-004010438-001,1/28/2018
2018-004021726-001,1/28/2018
2018-004023910-001,1/28/2018
2018-004024836-001,1/28/2018
2018-004035996-001,1/28/2018
2018-004051328-001,1/28/2018
2018-004068955-001,1/28/2018
2018-004077473-001,1/28/2018
2018-004096742-001,1/28/2018
2018-004097277-001,1/28/2018
2018-004098152-001,1/28/2018
2018-004119281-001,1/28/2018
2018-004133272-001,1/29/2018
2018-004139386-001,1/29/2018
2018-004161226-001,1/29/2018
2018-004168516-001,1/29/2018
2018-004175609-001,1/29/2018
2018-004176240-001,1/29/2018
2018-004184876-001,1/29/2018
2018-004195484-001,1/29/2018
2018-004208250-001,1/29/2018
2018-004211491-001,1/29/2018
2018-004234126-001,1/29/2018
2018-004250025-001,1/29/2018
2018-004256392-001,1/29/2018
2018-004512730-001,1/29/2018
2018-004314002-001,1/30/2018
2018-004327211-001,1/30/2018
2018-004356110-001,1/30/2018
2018-004387058-001,1/30/2018
2018-004387619-001,1/30/2018
2018-004395812-001,1/30/2018
2018-004396648-001,1/30/2018
2018-004428071-001,1/30/2018
2018-004432509-001,1/30/2018
2018-004432602-001,1/30/2018
2018-004454026-001,1/30/2018
2018-004555315-001,1/30/2018
2018-004850218-001,1/30/2018
2018-004877396-001,1/30/2018
2018-004497770-001,1/31/2018
2018-004502879-001,1/31/2018
2018-004533986-001,1/31/2018
2018-004570670-001,1/31/2018
2018-004575987-001,1/31/2018
2018-004584780-001,1/31/2018
2018-004587430-001,1/31/2018
2018-004591178-001,1/31/2018
2018-004600600-001,1/31/2018
2018-004638158-001,1/31/2018
2018-004650804-001,1/31/2018
2018-004705470-001,1/31/2018
2019-001118651-001,1/31/2018
2018-004652164-001,2/1/2018
2018-004664576-001,2/1/2018
2018-004676802-001,2/1/2018
2018-004687107-001,2/1/2018
2018-004698176-001,2/1/2018
2018-004701849-001,2/1/2018
2018-004704814-001,2/1/2018
2018-004714939-001,2/1/2018
2018-004722108-001,2/1/2018
2018-004773400-001,2/1/2018
2018-005251293-001,2/1/2018
2018-005259324-001,2/1/2018
2018-005407164-001,2/1/2018
2018-005830781-001,2/1/2018
2018-007900457-001,2/1/2018
2018-009579010-001,2/1/2018
2018-004849646-001,2/2/2018
2018-004859381-001,2/2/2018
2018-004939935-001,2/2/2018
2018-004965028-001,2/2/2018
2018-004970726-001,2/2/2018
2018-005000126-001,2/3/2018
2018-005005630-001,2/3/2018
2018-005008150-001,2/3/2018
2018-005028569-001,2/3/2018
2018-005120296-001,2/4/2018
2018-005175214-001,2/4/2018
2018-005193937-001,2/4/2018
2018-005215101-001,2/4/2018
2018-005297721-001,2/4/2018
2018-006886181-001,2/4/2018
2018-005208400-001,2/5/2018
2018-005229920-001,2/5/2018
2018-005244248-001,2/5/2018
2018-005251252-001,2/5/2018
2018-005285805-001,2/5/2018
2018-005302910-001,2/5/2018
2018-005330002-001,2/5/2018
2018-005344599-001,2/5/2018
2018-005351142-001,2/5/2018
2018-005354500-001,2/5/2018
2018-005507762-001,2/5/2018
2018-005609768-001,2/5/2018
2018-005421848-001,2/6/2018
2018-005451857-001,2/6/2018
2018-005475687-001,2/6/2018
2018-005531787-001,2/6/2018
2018-005536620-001,2/6/2018
2018-005575185-001,2/6/2018
2018-005635816-001,2/6/2018
2018-005776286-001,2/6/2018
2018-005569620-001,2/7/2018
2018-005580946-001,2/7/2018
2018-005608553-001,2/7/2018
2018-005612066-001,2/7/2018
2018-005624242-001,2/7/2018
2018-005697692-001,2/7/2018
2018-005708798-001,2/7/2018
2018-005719023-001,2/7/2018
2018-005758438-001,2/7/2018
2018-006011478-001,2/7/2018
2018-006011478-002,2/7/2018
2018-005733631-001,2/8/2018
2018-005791347-001,2/8/2018
2018-005827026-001,2/8/2018
2018-005843815-001,2/8/2018
2018-005875250-001,2/8/2018
2018-005890925-001,2/8/2018
2018-005903036-001,2/8/2018
2018-007092790-001,2/8/2018
2018-007522295-001,2/8/2018
2018-009449502-001,2/8/2018
2018-005926946-001,2/9/2018
2018-005932696-001,2/9/2018
2018-005953481-001,2/9/2018
2018-006011333-001,2/9/2018
2018-006018021-001,2/9/2018
2018-006046408-001,2/9/2018
2018-006050672-001,2/9/2018
2018-006068711-001,2/9/2018
2018-007120040-001,2/9/2018
2018-052832645-001,2/9/2018
2018-006090740-001,2/10/2018
2018-006123306-001,2/10/2018
2018-006124473-001,2/10/2018
2018-006142789-001,2/10/2018
2018-006170808-001,2/10/2018
2018-006190053-001,2/10/2018
2018-006278986-001,2/10/2018
2018-006253772-001,2/11/2018
2018-006270228-001,2/11/2018
2018-006342409-001,2/11/2018
2018-006347496-001,2/11/2018
2018-006447399-001,2/11/2018
2018-006466103-001,2/12/2018
2018-006481428-001,2/12/2018
2018-006489910-001,2/12/2018
2018-006512026-001,2/12/2018
2018-006522623-001,2/12/2018
2018-006523511-001,2/12/2018
2018-006554839-001,2/13/2018
2018-006570270-001,2/13/2018
2018-006575010-001,2/13/2018
2018-006575546-001,2/13/2018
2018-006579650-001,2/13/2018
2018-006593485-001,2/13/2018
2018-006651885-001,2/13/2018
2018-006667299-001,2/13/2018
2018-006681292-001,2/13/2018
2018-006952822-001,2/13/2018
2018-007070878-001,2/13/2018
2018-006758435-001,2/14/2018
2018-006777416-001,2/14/2018
2018-006812824-001,2/14/2018
2018-006865812-001,2/14/2018
2018-006911328-001,2/15/2018
2018-006928498-001,2/15/2018
2018-006947951-001,2/15/2018
2018-006964792-001,2/15/2018
2018-006965442-001,2/15/2018
2018-007076743-001,2/15/2018
2018-007097294-001,2/15/2018
2018-007047648-001,2/16/2018
2018-007054245-001,2/16/2018
2018-007122760-001,2/16/2018
2018-007150873-001,2/16/2018
2018-007162865-001,2/16/2018
2018-007167933-001,2/16/2018
2018-007220726-001,2/16/2018
2018-007257226-001,2/16/2018
2018-007301804-001,2/16/2018
2018-007725880-001,2/16/2018
2018-007225891-001,2/17/2018
2018-007331027-001,2/17/2018
2018-007353710-001,2/17/2018
2018-007360029-001,2/17/2018
2018-006886203-001,2/18/2018
2018-007375644-001,2/18/2018
2018-007380766-001,2/18/2018
2018-007398181-001,2/18/2018
2018-007400546-001,2/18/2018
2018-007410200-001,2/18/2018
2018-007411702-001,2/18/2018
2018-007428991-001,2/18/2018
2018-007450136-001,2/18/2018
2018-007478629-001,2/18/2018
2018-007518964-001,2/19/2018
2018-007543037-001,2/19/2018
2018-007551061-001,2/19/2018
2018-007628559-001,2/19/2018
2018-007989270-001,2/19/2018
2018-008978173-001,2/19/2018
2018-009087475-001,2/19/2018
2018-010813695-001,2/19/2018
2018-007692114-001,2/20/2018
2018-007702018-001,2/20/2018
2018-007716864-001,2/20/2018
2018-007724152-001,2/20/2018
2018-007813211-001,2/20/2018
2018-007835280-001,2/20/2018
2018-007854259-001,2/20/2018
2018-007883943-001,2/20/2018
2018-007877855-001,2/21/2018
2018-007918565-001,2/21/2018
2018-007925119-001,2/21/2018
2018-007947448-001,2/21/2018
2018-007962998-001,2/21/2018
2018-007982672-001,2/21/2018
2018-007989646-001,2/21/2018
2018-008014043-001,2/21/2018
2018-008025238-001,2/21/2018
2018-008029355-001,2/21/2018
2018-008061272-001,2/21/2018
2018-008306390-001,2/21/2018
2018-008907625-001,2/21/2018
2018-009149020-001,2/21/2018
2018-008038895-001,2/22/2018
2018-008052165-001,2/22/2018
2018-008055416-001,2/22/2018
2018-008069175-001,2/22/2018
2018-008099197-001,2/22/2018
2018-008101129-001,2/22/2018
2018-008129220-001,2/22/2018
2018-008214635-001,2/22/2018
2018-008281668-001,2/23/2018
2018-008294403-001,2/23/2018
2018-008300261-001,2/23/2018
2018-008322430-001,2/23/2018
2018-008351759-001,2/23/2018
2018-008355757-001,2/23/2018
2018-008356632-001,2/23/2018
2018-008356699-001,2/23/2018
2018-008358657-001,2/23/2018
2018-008389015-001,2/23/2018
2018-008466803-001,2/23/2018
2018-008796627-001,2/23/2018
2018-008438220-001,2/24/2018
2018-008453676-001,2/24/2018
2018-008474578-001,2/24/2018
2018-008499270-001,2/24/2018
2018-008660326-001,2/24/2018
2018-008745008-001,2/24/2018
2018-008776996-001,2/24/2018
2018-008965644-001,2/24/2018
2018-008750054-001,2/25/2018
2018-008659046-001,2/26/2018
2018-008721641-001,2/26/2018
2018-008725089-001,2/26/2018
2018-008796549-001,2/26/2018
2018-008833079-001,2/26/2018
2018-019589173-001,2/26/2018
2018-008871450-001,2/27/2018
2018-008938732-001,2/27/2018
2018-008955636-001,2/27/2018
2018-009012656-001,2/27/2018
2018-009017962-001,2/27/2018
2018-009027732-001,2/27/2018
2018-009068585-001,2/27/2018
2018-009475620-001,2/27/2018
2018-009044833-001,2/28/2018
2018-009057140-001,2/28/2018
2018-009067734-001,2/28/2018
2018-009114965-001,2/28/2018
2018-009174325-001,2/28/2018
2018-009188905-001,2/28/2018
2018-009209395-001,2/28/2018
2018-009446931-001,2/28/2018
2018-010303500-001,2/28/2018
2018-009055229-001,3/1/2018
2018-009279274-001,3/1/2018
2018-009339751-001,3/1/2018
2018-009344585-001,3/1/2018
2018-009366111-001,3/1/2018
2018-009399936-001,3/1/2018
2018-009417717-001,3/1/2018
2018-009526692-001,3/1/2018
2018-013017562-001,3/1/2018
2018-015310928-001,3/1/2018
2018-017215706-001,3/1/2018
2018-009472052-001,3/2/2018
2018-009487875-001,3/2/2018
2018-009510451-001,3/2/2018
2018-009518670-001,3/2/2018
2018-009533731-001,3/2/2018
2018-009655781-001,3/2/2018
2018-009626777-001,3/3/2018
2018-009650722-001,3/3/2018
2018-009694525-001,3/3/2018
2018-009708414-001,3/3/2018
2018-009732062-001,3/4/2018
2018-009751554-001,3/4/2018
2018-009915685-001,3/4/2018
2018-010515720-001,3/4/2018
2018-018254936-001,3/4/2018
2018-009890006-001,3/5/2018
2018-009907180-001,3/5/2018
2018-009909571-001,3/5/2018
2018-009940648-001,3/5/2018
2018-010104135-001,3/5/2018
2018-010717788-001,3/5/2018
2018-010120229-001,3/6/2018
2018-010161030-001,3/6/2018
2018-010161360-001,3/6/2018
2018-010175610-001,3/6/2018
2018-010208402-001,3/6/2018
2018-010213762-001,3/6/2018
2018-010217171-001,3/6/2018
2018-010239431-001,3/6/2018
2018-010271910-001,3/6/2018
2018-010284869-001,3/6/2018
2018-010500719-001,3/6/2018
2018-016839511-001,3/6/2018
2018-010314657-001,3/7/2018
2018-010333506-001,3/7/2018
2018-010333562-001,3/7/2018
2018-010339648-001,3/7/2018
2018-010344287-001,3/7/2018
2018-010350046-001,3/7/2018
2018-010366196-001,3/7/2018
2018-010387191-001,3/7/2018
2018-010412169-001,3/7/2018
2018-010429125-001,3/7/2018
2018-011345157-001,3/7/2018
2018-026228894-001,3/7/2018
2018-010434548-001,3/8/2018
2018-010469547-001,3/8/2018
2018-010476811-001,3/8/2018
2018-010491653-001,3/8/2018
2018-010544223-001,3/8/2018
2018-010544418-001,3/8/2018
2018-010549765-001,3/8/2018
2018-010717117-001,3/8/2018
2018-011148292-001,3/8/2018
2018-011431933-001,3/8/2018
2018-010631170-001,3/9/2018
2018-010658461-001,3/9/2018
2018-010677141-001,3/9/2018
2018-010709621-001,3/9/2018
2018-010725076-001,3/9/2018
2018-010840986-001,3/9/2018
2018-010822655-001,3/10/2018
2018-010858345-001,3/10/2018
2018-010858843-001,3/10/2018
2018-010872994-001,3/10/2018
2018-010912628-001,3/10/2018
2018-011712770-001,3/10/2018
2018-015276122-001,3/10/2018
2018-010956552-001,3/11/2018
2018-010958276-001,3/11/2018
2018-010994436-001,3/11/2018
2018-011000439-001,3/11/2018
2018-011066610-001,3/12/2018
2018-011078684-001,3/12/2018
2018-011108234-001,3/12/2018
2018-011132428-001,3/12/2018
2018-011169426-001,3/12/2018
2018-011204888-001,3/12/2018
2018-011212921-001,3/12/2018
2018-011226260-001,3/12/2018
2018-011236961-001,3/12/2018
2018-011709735-001,3/12/2018
2018-012298161-001,3/12/2018
2018-011265359-001,3/13/2018
2018-011296845-001,3/13/2018
2018-011326897-001,3/13/2018
2018-011333964-001,3/13/2018
2018-011342310-001,3/13/2018
2018-011349049-001,3/13/2018
2018-011355124-001,3/13/2018
2018-011355770-001,3/13/2018
2018-011416060-001,3/13/2018
2018-011541530-001,3/13/2018
2018-011607558-001,3/13/2018
2018-012669858-001,3/13/2018
2018-019733563-001,3/13/2018
2018-011472955-001,3/14/2018
2018-011517860-001,3/14/2018
2018-011598570-001,3/14/2018
2018-011608145-001,3/14/2018
2018-012736462-001,3/14/2018
2018-012741268-001,3/14/2018
2018-017925762-001,3/14/2018
2018-011696790-001,3/15/2018
2018-011786369-001,3/15/2018
2018-011800195-001,3/15/2018
2018-011841176-001,3/15/2018
2018-012275427-001,3/15/2018
2018-011909108-001,3/16/2018
2018-011969756-001,3/16/2018
2018-011974131-001,3/16/2018
2018-011992315-001,3/17/2018
2018-012002582-001,3/17/2018
2018-012035736-001,3/17/2018
2018-012349193-001,3/17/2018
2018-012129070-001,3/18/2018
2018-012149883-001,3/18/2018
2018-012189123-001,3/18/2018
2018-012208723-001,3/18/2018
2018-012215816-001,3/18/2018
2018-012219513-001,3/18/2018
2018-012318860-001,3/18/2018
2018-012299677-001,3/19/2018
2018-012317131-001,3/19/2018
2018-012369285-001,3/19/2018
2018-012382910-001,3/19/2018
2018-012463059-001,3/19/2018
2018-012475943-001,3/19/2018
2018-012457889-001,3/20/2018
2018-012528830-001,3/20/2018
2018-012559148-001,3/20/2018
2018-012592869-001,3/20/2018
2018-012634680-001,3/20/2018
2018-012897572-001,3/20/2018
2018-013035733-001,3/20/2018
2018-016400259-001,3/20/2018
2018-012702728-001,3/21/2018
2018-012706700-001,3/21/2018
2018-012707564-001,3/21/2018
2018-012729486-001,3/21/2018
2018-012766876-001,3/21/2018
2018-012787947-001,3/21/2018
2018-012888058-001,3/21/2018
2018-012879003-001,3/22/2018
2018-012923923-001,3/22/2018
2018-012931722-001,3/22/2018
2018-012934193-001,3/22/2018
2018-012935902-001,3/22/2018
2018-012964146-001,3/22/2018
2018-014792327-001,3/22/2018
2018-016280156-001,3/22/2018
2018-013052912-001,3/23/2018
2018-013061612-001,3/23/2018
2018-013087952-001,3/23/2018
2018-013088039-001,3/23/2018
2018-013110974-001,3/23/2018
2018-013112763-001,3/23/2018
2018-013193198-001,3/24/2018
2018-013195758-001,3/24/2018
2018-013307450-001,3/24/2018
2018-013308924-001,3/25/2018
2018-013310350-001,3/25/2018
2018-013357535-001,3/25/2018
2018-013364879-001,3/25/2018
2018-013374426-001,3/25/2018
2018-013471550-001,3/25/2018
2018-020517909-001,3/25/2018
2018-013450919-001,3/26/2018
2018-013452500-001,3/26/2018
2018-013494060-001,3/26/2018
2018-013512195-001,3/26/2018
2018-013529712-001,3/26/2018
2018-013537041-001,3/26/2018
2018-013538061-001,3/26/2018
2018-013539144-001,3/26/2018
2018-013580664-001,3/26/2018
2018-013600143-001,3/26/2018
2018-014179332-001,3/26/2018
2018-054883927-001,3/26/2018
2018-013503138-001,3/27/2018
2018-013614329-001,3/27/2018
2018-013641152-001,3/27/2018
2018-013683062-001,3/27/2018
2018-013684788-001,3/27/2018
2018-013695145-001,3/27/2018
2018-013697207-001,3/27/2018
2018-013715057-001,3/27/2018
2018-013894682-001,3/28/2018
2018-013901028-001,3/28/2018
2018-013926861-001,3/28/2018
2018-013934331-001,3/28/2018
2018-013961992-001,3/28/2018
2018-014554140-001,3/28/2018
2018-013998345-001,3/29/2018
2018-014002715-001,3/29/2018
2018-014003917-001,3/29/2018
2018-014047841-001,3/29/2018
2018-014063361-001,3/29/2018
2018-014070610-001,3/29/2018
2018-014740816-001,3/29/2018
2018-014909391-001,3/29/2018
2018-014168044-001,3/30/2018
2018-014177976-001,3/30/2018
2018-014180757-001,3/30/2018
2018-014255866-001,3/30/2018
2018-014265909-001,3/30/2018
2018-014927036-001,3/30/2018
2018-014270080-001,3/31/2018
2018-014306857-001,3/31/2018
2018-014330646-001,3/31/2018
2018-014383829-001,3/31/2018
2018-015317960-001,3/31/2018
2018-016265800-001,3/31/2018
2018-014408592-001,4/1/2018
2018-014586236-001,4/1/2018
2018-014588943-001,4/1/2018
2018-014605429-001,4/1/2018
2018-014610356-001,4/1/2018
2018-015134714-001,4/1/2018
2018-014596285-001,4/2/2018
2018-014611413-001,4/2/2018
2018-014617107-001,4/2/2018
2018-014625971-001,4/2/2018
2018-014643118-001,4/2/2018
2018-014654211-001,4/2/2018
2018-014665042-001,4/2/2018
2018-014687800-001,4/2/2018
2018-018097051-001,4/2/2018
2018-014766620-001,4/3/2018
2018-014839140-001,4/3/2018
2018-014863622-001,4/3/2018
2018-014927575-001,4/3/2018
2018-014966087-001,4/3/2018
2018-015915537-001,4/3/2018
2018-018086694-001,4/3/2018
2018-015005287-001,4/4/2018
2018-015005590-001,4/4/2018
2018-015010292-001,4/4/2018
2018-016208096-001,4/4/2018
2018-015078642-001,4/5/2018
2018-015097796-001,4/5/2018
2018-015109134-001,4/5/2018
2018-015109398-001,4/5/2018
2018-015120513-001,4/5/2018
2018-015133328-001,4/5/2018
2018-015151778-001,4/5/2018
2018-015191910-001,4/5/2018
2018-015202559-001,4/5/2018
2018-015228481-001,4/5/2018
2018-015280644-001,4/6/2018
2018-015286275-001,4/6/2018
2018-015330236-001,4/6/2018
2018-015731236-001,4/6/2018
2018-015734020-001,4/6/2018
2018-015505564-001,4/7/2018
2018-015528935-001,4/7/2018
2018-015672894-001,4/7/2018
2018-015680533-001,4/7/2018
2018-017038303-001,4/7/2018
2018-017394978-001,4/7/2018
2018-015616090-001,4/8/2018
2018-016050720-001,4/8/2018
2018-015672433-001,4/9/2018
2018-015681293-001,4/9/2018
2018-015705526-001,4/9/2018
2018-015707789-001,4/9/2018
2018-015727570-001,4/9/2018
2018-015795030-001,4/9/2018
2018-015807625-001,4/9/2018
2018-015815584-001,4/9/2018
2018-015830097-001,4/9/2018
2018-015832895-001,4/9/2018
2018-016029242-001,4/9/2018
2018-016116462-001,4/9/2018
2018-015865450-001,4/10/2018
2018-015881700-001,4/10/2018
2018-015909659-001,4/10/2018
2018-015928809-001,4/10/2018
2018-015940411-001,4/10/2018
2018-016025019-001,4/10/2018
2018-016042044-001,4/10/2018
2018-016210370-001,4/10/2018
2018-016211936-001,4/10/2018
2018-016245718-001,4/10/2018
2018-016997960-001,4/10/2018
2018-016029164-001,4/11/2018
2018-016046958-001,4/11/2018
2018-016071388-001,4/11/2018
2018-016076309-001,4/11/2018
2018-016132831-001,4/11/2018
2018-016146941-001,4/11/2018
2018-016152503-001,4/11/2018
2018-016236009-001,4/11/2018
2018-016414735-001,4/11/2018
2018-023561588-001,4/11/2018
2018-016186510-001,4/12/2018
2018-016314375-001,4/12/2018
