Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unidade Relato Nível 6;Unid Digitação Nível 6;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Código Subclasse Nat Sec1;Tentado/Consumado Nat Sec1;Código Subclasse Nat Sec2;Tentado/Consumado Nat Sec2;Código Subclasse Nat Sec3;Tentado/Consumado Nat Sec3;ALVO;Descrição Meio Utilizado;Data Comunicação Fato;Horário Comunicação Fato;Data Fato;Horário Fato;Data Última Atualização;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Matrícula Digitador;Matrícula Relator;Qtde Ocorrências
2019-024482359-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;24/05/2019;07:45:00;24/05/2019;07:45:00;27/05/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;POSTO DA REDE DOM PEDRO;ITATIAIUCU;-20,18332780;-44,37973670;PM1584655;1584655;1
2019-029980031-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;25/06/2019;08:01:00;25/06/2019;08:00:00;27/06/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1506229;1506229;1
2019-031772149-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);04/07/2019;07:30:00;04/07/2019;02:00:00;06/07/2019;RODOVIA;BR 381;BR 381;PREENCHIMENTO OPCIONAL;;535.000;POVOADO DE PINHEIROS;PINHEIORS;;PÁTIO COMBUSTIVEIS POSTO DOM PEDRO;ITATIAIUCU;-20,18332780;-44,37973670;PM1185644;1185644;1
2019-042501480-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;TENTADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;02/09/2019;08:40:00;02/09/2019;03:00:00;04/09/2019;ESTRADA;FEDERAL ,RODOVIA 381;;PREENCHIMENTO OPCIONAL;;26;INVÁLIDO;;;POSTO DOM PREDRO KM-545;ITATIAIUCU;-20,18332780;-44,37973670;PM1568443;1185644;1
2019-043058011-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ABUSO DE CONFIANCA;04/09/2019;21:35:00;03/09/2019;17:13:00;06/09/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1698604;1698604;1
2019-044010274-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;CONHECIMENTO TECNICO ESPECIFICO;10/09/2019;08:58:00;07/09/2019;02:00:00;12/09/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1459353;1459353;1
2019-047770728-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ABUSO DE CONFIANCA;30/09/2019;15:00:00;30/09/2019;13:20:00;02/10/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1459353;1459353;1
2019-049004850-001;POLICIA MILITAR;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;CONHECIMENTO TECNICO ESPECIFICO;07/10/2019;11:07:00;07/10/2019;03:00:00;09/10/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1459353;1459353;1
2019-050656515-001;POLICIA MILITAR;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);16/10/2019;06:30:00;16/10/2019;03:00:00;18/10/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1698604;1698604;1
2019-051533446-001;POLICIA MILITAR;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;21/10/2019;07:30:00;21/10/2019;06:00:00;23/10/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1699172;1699172;1
2019-009678639-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ABUSO DE CONFIANCA;01/03/2019;16:20:00;01/03/2019;16:15:00;05/03/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18309310;-44,38052880;PM1699172;1699172;1
2019-017121566-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;13/04/2019;05:30:00;13/04/2019;05:30:00;15/04/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;POSTO DOM PEDRO;ITATIAIUCU;-20,18309310;-44,38052880;PM1750322;1750322;1
2019-019218065-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Motorista;CONHECIMENTO TECNICO ESPECIFICO;25/04/2019;07:26:00;25/04/2019;01:00:00;27/04/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18309310;-44,38052880;PM1304849;1304849;1
2019-027520719-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;11/06/2019;15:40:00;07/06/2019;18:00:00;13/06/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535.000;POVOADO DE PINHEIROS;VIEIRAS;;;ITATIAIUCU;-20,18309310;-44,38052880;PM1459353;1459353;1
2019-026945539-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);08/06/2019;05:00:00;08/06/2019;05:00:00;10/06/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;POSTO DOM PEDRO;ITATIAIUCU;-20,18309310;-44,38052880;PM1489400;1489400;1
2019-042730171-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;03/09/2019;08:01:00;03/09/2019;08:00:00;05/09/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18309310;-44,38052880;PM1506229;1506229;1
2019-036559745-001;POLICIA CIVIL;DESATIVADASRACIONAL SEDE/63 BPM;DELEGACIA DE POLICIA CIVIL/ITAUNA;DELEGACIA DE POLICIA CIVIL/ITAUNA;DELEGACIA DE POLICIA CIVIL/ITAUNA;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;31/07/2019;15:54:00;17/07/2019;20:00:00;02/08/2019;RUA;SAO JOAO;;PREENCHIMENTO OPCIONAL;;23;RETIRO COLONIAL;;;;ITATIAIUCU;-20,17170420;-44,38081760;PC764401;764401;1
2019-017275843-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO C/EXPLOS;14/04/2019;07:00:00;14/04/2019;04:00:00;16/04/2019;MARGINAL;BR 381;;PREENCHIMENTO OPCIONAL;;103;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18612480;-44,38109790;PM1217652;1217652;1
2019-021320374-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;07/05/2019;15:00:00;07/05/2019;12:00:00;09/05/2019;POVOADO;LAGOA DAS FLORES;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;POVOADO DE PINHEIROS;ITATIAIUCU;-20,16874720;-44,38226110;PM1493097;1493097;1
2019-029921074-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);24/06/2019;15:15:00;24/06/2019;15:15:00;26/06/2019;POVOADO;LAGOA DAS FLORES;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ITATIAIUCU;-20,16874720;-44,38226110;PM1699172;1699172;1
2019-020537380-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;39 CIA PM/18 BPM/2 RPM;39 CIA PM/18 BPM/2 RPM;39 CIA PM/18 BPM/2 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Veículo;ARMAS DE FOGO;02/05/2019;23:05:00;02/05/2019;23:05:49;05/05/2019;MARGINAL;BR 381;;PREENCHIMENTO OPCIONAL;;100;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18898810;-44,38290020;PM1220540;1220540;1
2019-018811274-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ABUSO DE CONFIANCA;23/04/2019;11:30:00;12/04/2019;16:00:00;25/04/2019;POVOADO;MORRO DO PIAO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;ACAMPAMENTO DOS SEM TERRA;ITATIAIUCU;-20,23442780;-44,38385560;PM1168723;1168723;1
2019-044426805-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;278 CIA PM/59 BPM/17 RPM;278 CIA PM/59 BPM/17 RPM;278 CIA PM/59 BPM/17 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Coletivo;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;12/09/2019;10:00:00;18/08/2019;02:00:00;14/09/2019;RODOVIA;BR 381;FERNÃO DIAS;PREENCHIMENTO OPCIONAL;;537.000;INVÁLIDO;;;;ITATIAIUCU;-20,20210710;-44,38829820;PM1562446;1562446;1
2019-050648850-001;POLICIA MILITAR;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;15/10/2019;05:20:00;15/10/2019;04:00:00;18/10/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;537;INVÁLIDO;;;PÁTIO POSTO DOM PEDRO;ITATIAIUCU;-20,20210710;-44,38829820;PM1168723;1168723;1
2019-050650170-001;POLICIA MILITAR;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;15/10/2019;05:20:00;15/10/2019;04:00:00;18/10/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;537;INVÁLIDO;;;PÁTIO POSTO DOM PEDRO;ITATIAIUCU;-20,20210710;-44,38829820;PM1168723;1168723;1
