MUNICIPIO;VALIDADOR;VALIDADOR_TIPO;CIA_BASE;BAIRRO;TIPO;SETOR;SUBSETOR;COD_SETOR;OBSERVACAO
DIVINOPOLIS;BRAULINA MICHELINE;LOGRADOURO;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;CHACARAS XAVANTE;BAIRRO;53ª CIA PM;CHACARAS XAVANTE;RURAL;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;CHACARAS XAVANTE;BAIRRO_NAO_CAD;53ª CIA PM;CHACARAS XAVANTE;RURAL;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;CLARINDO ANTONIO DE MELO;LOGRADOURO;53ª CIA PM;LP PEREIRA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;CONJUNTO HABITACIONAL WALCHIR RESENDE;BAIRRO;53ª CIA PM;WALCHIR RESENDE;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;DELFINOPOLIS;LOGRADOURO;53ª CIA PM;SANTO ANTONIO;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;INHAPIM;LOGRADOURO;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;IPIRANGA;BAIRRO;53ª CIA PM;IPIRANGA;URBANO;ALTO GOIAS;IPIRANGA;23.53.2;
DIVINOPOLIS;ipiranga;BAIRRO_NAO_CAD;53ª CIA PM;IPIRANGA;URBANO;ALTO GOIAS;IPIRANGA;23.53.2;
DIVINOPOLIS;JARDIM BRASILIA;BAIRRO;53ª CIA PM;JARDIM BRASILIA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;LEVINDO DE PAULA PEREIRA;BAIRRO;53ª CIA PM;LEVINDO DE PAULA PEREIRA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;LEVINDO DE PAULA PEREIRA;BAIRRO_NAO_CAD;53ª CIA PM;LEVINDO DE PAULA PEREIRA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;ONZE DE NOVEMBRO;LOGRADOURO_NAO_CAD;53ª CIA PM;IPIRANGA;URBANO;ALTO GOIAS;IPIRANGA;23.53.2;
DIVINOPOLIS;ORION;BAIRRO_NAO_CAD;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;PARA;BAIRRO_NAO_CAD;53ª CIA PM;VILA BELO HORIZONTE;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;PARA;LOGRADOURO_NAO_CAD;53ª CIA PM;VILA BELO HORIZONTE;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;VILA BELO HORIZONTE;BAIRRO;53ª CIA PM;VILA BELO HORIZONTE;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;VILA BELO HORIZONTE;BAIRRO_NAO_CAD;53ª CIA PM;VILA BELO HORIZONTE;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;XAVANTE;LOGRADOURO;53ª CIA PM;XAVANTE;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;XAVANTES;BAIRRO;53ª CIA PM;XAVANTE;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;2015-004484204-001;N_REDS;53ª CIA PM;CANDELARIA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;RUA ANTONIO TEODORO FERREIRA
DIVINOPOLIS;2018-016364554-001;N_REDS;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;2018-029935221-001;N_REDS;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;BOATE CRISTAL
DIVINOPOLIS;2018-042224523-001;N_REDS;53ª CIA PM;ALVORADA;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;MOTEL LOVE
DIVINOPOLIS;AFONSO PENA;BAIRRO;53ª CIA PM;AFONSO PENA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;afonso pena;BAIRRO_NAO_CAD;53ª CIA PM;AFONSO PENA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;ALTO SAO VICENTE;BAIRRO;53ª CIA PM;ALTO SAO VICENTE;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;alto SAO vicente;BAIRRO_NAO_CAD;53ª CIA PM;ALTO SAO VICENTE;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;ALVORADA;BAIRRO;53ª CIA PM;ALVORADA;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;ALVORADA;BAIRRO_NAO_CAD;53ª CIA PM;ALVORADA;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;ANCHIETA;BAIRRO;53ª CIA PM;ANCHIETA;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;ANCHIETA;BAIRRO_NAO_CAD;53ª CIA PM;ANCHIETA;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;Arena Hangar;COMPLEMENTO_END;53ª CIA PM;CACHOEIRINHA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;BAIRRO LIBERDADE;COMPLEMENTO_END;53ª CIA PM;LIBERDADE;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;BOM PASTOR;BAIRRO;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;BOM PASTOR;BAIRRO_NAO_CAD;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;CACHOEIRA DO CAIXAO;LOGRADOURO;53ª CIA PM;CACHOEIRA DO CAIXAO;RURAL;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;CACHOEIRINHA;LOGRADOURO;139ª CIA PM;CACHOEIRINHA;RURAL;PLANALTO;ERMIDA;23.139.2;
DIVINOPOLIS;CACHOEIRINHA;LOGRADOURO_NAO_CAD;139ª CIA PM;CACHOEIRINHA;RURAL;PLANALTO;ERMIDA;23.139.2;
DIVINOPOLIS;CANDELÁRIA;BAIRRO_NAO_CAD;53ª CIA PM;CANDELARIA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;CONCEICAO OLIVEIRA MELO;BAIRRO_NAO_CAD;53ª CIA PM;LIBERDADE;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;CONCEICAO OLIVEIRA MELO;LOGRADOURO_NAO_CAD;53ª CIA PM;LIBERDADE;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;CONJUNTO OSWALDO MACHADO GONTIJO;BAIRRO;53ª CIA PM;OSWALDO MACHADO GONTIJO;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;DIVINO ESPIRITO SANTO;LOGRADOURO;53ª CIA PM;SIDIL;URBANO;HIPER CENTRO;SIDIL;23.53.1;
DIVINOPOLIS;FONTE BOA;BAIRRO_NAO_CAD;53ª CIA PM;FONTE BOA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;FORTALEZA;LOGRADOURO;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;GUANABARA;LOGRADOURO;53ª CIA PM;JARDIM DAS OLIVEIRAS;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;ITUMIRITINGA;LOGRADOURO;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;JARDIM CANDELARIA;BAIRRO;53ª CIA PM;CANDELARIA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;JARDIM CAPITAO SILVA;BAIRRO;53ª CIA PM;CANDELARIA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;JARDIM DAS OLIVEIRAS;BAIRRO;53ª CIA PM;JARDIM DAS OLIVEIRAS;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;JARDIM DAS OLIVEIRAS;BAIRRO_NAO_CAD;53ª CIA PM;JARDIM DAS OLIVEIRAS;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;JARDIM DAS OLIVEIRAS II;BAIRRO;53ª CIA PM;JARDIM DAS OLIVEIRAS;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;JARDIM NOVA AMERICA;BAIRRO;53ª CIA PM;JARDIM NOVA AMERICA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;jardim nova america;BAIRRO_NAO_CAD;53ª CIA PM;JARDIM NOVA AMERICA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;JK;LOGRADOURO_NAO_CAD;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;JOAO TEODORO FERREIRA;LOGRADOURO;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;LIBERDADE;BAIRRO;53ª CIA PM;LIBERDADE;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;LIBERDADE;BAIRRO_NAO_CAD;53ª CIA PM;LIBERDADE;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;MARIA DE LOURDES TEIXEIRA;LOGRADOURO_NAO_CAD;53ª CIA PM;SANTA CLARA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;MARIA MOREIRA LIMA;LOGRADOURO;53ª CIA PM;FONTE BOA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;NOSSA SENHORA DA CONCEICAO;BAIRRO;53ª CIA PM;NOSSA SENHORA DA CONCEICAO;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;NOVA FORTALEZA;BAIRRO;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;NOVA FORTALEZA;BAIRRO_NAO_CAD;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;NOVA FORTALEZA II;BAIRRO;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;NOVA FORTALEZA II;BAIRRO_NAO_CAD;53ª CIA PM;FORTALEZA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;OSVALDO FERNANDES DA COSTA;LOGRADOURO_NAO_CAD;53ª CIA PM;ALVORADA;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;PADRE LIBERIO;BAIRRO;53ª CIA PM;PADRE LIBERIO;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;PADRE LIBERIO;BAIRRO_NAO_CAD;53ª CIA PM;PADRE LIBERIO;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;padre libério;BAIRRO_NAO_CAD;53ª CIA PM;PADRE LIBERIO;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;PARQUE JARDIM CAPITAO SILVA;BAIRRO;53ª CIA PM;PARQUE JARDIM CAPITAO SILVA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;PETROPOLIS;LOGRADOURO_NAO_CAD;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;PITANGUI;LOGRADOURO;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;PROLONGAMENTO BOM PASTOR;BAIRRO;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;PROLONGAMENTO BOM PASTOR;BAIRRO_NAO_CAD;53ª CIA PM;BOM PASTOR;URBANO;BOM PASTOR;PADRE LIBERIO;23.53.3;
DIVINOPOLIS;RESIDENCIAL ALTO DAS OLIVEIRAS;BAIRRO;53ª CIA PM;JARDIM DAS OLIVEIRAS;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;RESIDENCIAL DOM CRISTIANO;BAIRRO;53ª CIA PM;DOM CRISTIANO;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;RESIDENCIAL DOM CRISTIANO;BAIRRO_NAO_CAD;53ª CIA PM;DOM CRISTIANO;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;RESIDENCIAL FONTE BOA;BAIRRO;53ª CIA PM;FONTE BOA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;RESIDENCIAL RINALDO CAMPOS SOARES;BAIRRO;53ª CIA PM;CONJUNTO RINALDO CAMPOS SOARES;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;SANTA CLARA;BAIRRO;53ª CIA PM;SANTA CLARA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;SANTA CLARA;BAIRRO_NAO_CAD;53ª CIA PM;SANTA CLARA;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;SANTA MARTHA;BAIRRO;53ª CIA PM;SANTA MARTA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;SANTA RITA DE CASSIA;LOGRADOURO;53ª CIA PM;CANDELARIA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;SANTA RITA DE CASSIA;LOGRADOURO_NAO_CAD;53ª CIA PM;CANDELARIA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;SANTO ANTONIO;BAIRRO;53ª CIA PM;SANTO ANTONIO;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;santo antonio;BAIRRO_NAO_CAD;53ª CIA PM;SANTO ANTONIO;URBANO;ALTO GOIAS;SANTO ANTONIO;23.53.2;
DIVINOPOLIS;SAO SEBASTIAO;BAIRRO;53ª CIA PM;SAO SEBASTIAO;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;SAO SEBASTIAO;LOGRADOURO;53ª CIA PM;SAO SEBASTIAO;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;SAO VICENTE;BAIRRO_NAO_CAD;53ª CIA PM;SAO VICENTE;URBANO;BOM PASTOR;SANTA CLARA;23.53.3;
DIVINOPOLIS;SERRA DO CRISTAL;LOGRADOURO;53ª CIA PM;VILA CRUZEIRO;URBANO;HIPER CENTRO;GETULIO VARGAS;23.53.1;
DIVINOPOLIS;SERRA VERDE;BAIRRO;53ª CIA PM;SERRA VERDE;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;serra verde;BAIRRO_NAO_CAD;53ª CIA PM;SERRA VERDE;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;TRES MARIAS;LOGRADOURO;53ª CIA PM;ANCHIETA;URBANO;BOM PASTOR;SERRA VERDE;23.53.3;
DIVINOPOLIS;VILA CRUZEIRO;BAIRRO;53ª CIA PM;VILA CRUZEIRO;URBANO;HIPER CENTRO;GETULIO VARGAS;23.53.1;
DIVINOPOLIS;VILA CRUZEIRO;BAIRRO_NAO_CAD;53ª CIA PM;VILA CRUZEIRO;URBANO;HIPER CENTRO;GETULIO VARGAS;23.53.1;
DIVINOPOLIS;VILA SANTO ANDRE;BAIRRO;53ª CIA PM;VILA SANTO ANDRE;URBANO;HIPER CENTRO;GETULIO VARGAS;23.53.1;
DIVINOPOLIS;VINTE E UM DE ABRIL;LOGRADOURO_NAO_CAD;53ª CIA PM;VILA SANTO ANDRE;URBANO;HIPER CENTRO;GETULIO VARGAS;23.53.1;
DIVINOPOLIS;VISTA ALEGRE;BAIRRO;139ª CIA PM;VISTA ALEGRE;URBANO;PLANALTO;ERMIDA;23.139.2;
DIVINOPOLIS;VISTA ALEGRE;BAIRRO_NAO_CAD;139ª CIA PM;VISTA ALEGRE;URBANO;PLANALTO;ERMIDA;23.139.2;
DIVINOPOLIS;2018-043506650-001;N_REDS;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;CENTRO;BAIRRO;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;centro;BAIRRO_NAO_CAD;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;DO ROSARIO;LOGRADOURO;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;MARANHAO;LOGRADOURO;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;MG 050;LOGRADOURO_NAO_CAD;139ª CIA PM;JARDIM REAL;URBANO;PLANALTO;QUINTINO;23.139.2;
DIVINOPOLIS;OESTE DE MINAS;LOGRADOURO_NAO_CAD;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;ORION;BAIRRO;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;PLANALTO;BAIRRO;139ª CIA PM;PLANALTO;URBANO;PLANALTO;TIETE;23.139.2;
DIVINOPOLIS;planalto;BAIRRO_NAO_CAD;139ª CIA PM;PLANALTO;URBANO;PLANALTO;TIETE;23.139.2;
DIVINOPOLIS;PLANALTO;PONTO_REF;139ª CIA PM;PLANALTO;URBANO;PLANALTO;TIETE;23.139.2;
DIVINOPOLIS;RIO DE JANEIRO;LOGRADOURO;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;SANTA LUZIA;BAIRRO;139ª CIA PM;SANTA LUZIA;URBANO;PLANALTO;TIETE;23.139.2;
DIVINOPOLIS;Santa Luzia;BAIRRO_NAO_CAD;139ª CIA PM;SANTA LUZIA;URBANO;PLANALTO;TIETE;23.139.2;
DIVINOPOLIS;SAO PAULO;BAIRRO;139ª CIA PM;SAO PAULO;URBANO;SAO JOSE;BELVEDERE;23.139.1;
DIVINOPOLIS;SETE DE SETEMBRO;LOGRADOURO;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;2015-001602297-001;N_REDS;139ª CIA PM;SAO PAULO;;PLANALTO;INVALIDO;23.139.2;REDS DE OUTRA RPM
DIVINOPOLIS;2015-008338972-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA LEONIDAS SCHWINDT No. 340, ORION
DIVINOPOLIS;2015-008365016-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA MINAS GERAIS No. 3340, ORION 
DIVINOPOLIS;2015-009415510-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 25
DIVINOPOLIS;2015-010191472-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3551, ORION
DIVINOPOLIS;2015-010816751-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA MINAS GERAIS No. 3241, ORION - 
DIVINOPOLIS;2015-010878922-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3570, ORION 
DIVINOPOLIS;2015-013362800-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3587, ORION
DIVINOPOLIS;2015-014689314-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 8 - 
DIVINOPOLIS;2015-015207809-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3587, ORION
DIVINOPOLIS;2015-017253295-001;N_REDS;139ª CIA PM;RUA PARANA No. S/N - DIVINOPOLIS;;SAO JOSE;INVALIDO;23.139.1;REDS FEITO PELA PC, SEM NÚMERO DA RUA
DIVINOPOLIS;2015-018173230-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA MARTINHA SILVINA TAVARES No. 330, ORION
DIVINOPOLIS;2015-018490330-001;N_REDS;139ª CIA PM;ÁREA RURAL;;PLANALTO;INVALIDO;23.139.2;SITIO SANTA RITA DE CASSIA No. S/N
DIVINOPOLIS;2015-018694673-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3684, ORION
DIVINOPOLIS;2015-020405479-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 - KM 49 No. S/N, ZONA RURAL
DIVINOPOLIS;2015-021230530-001;N_REDS;139ª CIA PM;MG 050;;PLANALTO;INVALIDO;23.139.2;RODOVIA MG 050 No. 138 - BAR DO LORO
DIVINOPOLIS;2015-021560429-001;N_REDS;139ª CIA PM;RUA LAGOA DA PRATA, S/N;;SAO JOSE;INVALIDO;23.139.1;RUA LAGOA DA PRATA No. S/N
DIVINOPOLIS;2015-021612007-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA MINAS GERAIS No. 3241, ORION
DIVINOPOLIS;2015-022528972-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 15 
DIVINOPOLIS;2015-023395969-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 22
DIVINOPOLIS;2015-024384170-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA MARTINHA SILVINA TAVARES No. 330, ORION
DIVINOPOLIS;2015-024564338-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 19 
DIVINOPOLIS;2015-024916573-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 9 
DIVINOPOLIS;2015-025004710-001;N_REDS;139ª CIA PM;FAZENDA BOA VISTA No. S/N;;PLANALTO;INVALIDO;23.139.2;FAZENDA BOA VISTA No. S/N
DIVINOPOLIS;2015-028022412-001;N_REDS;139ª CIA PM;RUA PERNAMBUCO No. 4530;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 4530
DIVINOPOLIS;2016-000319664-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 14
DIVINOPOLIS;2016-001791504-001;N_REDS;139ª CIA PM;POVOADO OLARIA No. S/N, ZONA RURAL;;PLANALTO;INVALIDO;23.139.2;POVOADO OLARIA No. S/N, ZONA RURAL
DIVINOPOLIS;2016-002944407-001;N_REDS;139ª CIA PM;BR 494;;PLANALTO;INVALIDO;23.139.2;RODOVIA BR 494 No. 15
DIVINOPOLIS;2016-005181042-001;N_REDS;139ª CIA PM;REDS DE ARCOS/MG;;PLANALTO;INVALIDO;23.139.2;REDS DE ARCOS/MG
DIVINOPOLIS;2016-006298710-001;N_REDS;139ª CIA PM;RUA ALFREDO RACHID No. 201, ORION;;PLANALTO;INVALIDO;23.139.2;RUA ALFREDO RACHID No. 201, ORION
DIVINOPOLIS;2016-007809906-001;N_REDS;139ª CIA PM;RUA PERNAMBUCO No. 3648, ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3648, ORION
DIVINOPOLIS;2016-008057290-001;N_REDS;139ª CIA PM;RODOVIA MG 050 No. 138 ;;PLANALTO;INVALIDO;23.139.2;RODOVIA MG 050 No. 138 
DIVINOPOLIS;2016-008622455-001;N_REDS;139ª CIA PM;ORION;;PLANALTO;INVALIDO;23.139.2;RUA PERNAMBUCO No. 3606, ORION
DIVINOPOLIS;2016-008766386-001;N_REDS;139ª CIA PM;RODOVIA MG 050 No. 138;;PLANALTO;INVALIDO;23.139.2;RODOVIA MG 050 No. 138
