Código Grupo;Descrição Grupo;Código Classe;Descrição Classe;Código Subclasse;Descrição Subclasse
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19006;REUNIAO COM OS CADASTRADOS NA REDE DE VIZINHOS PROTEGIDOS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19007;REUNIAO COM OS CADASTRADOS NA REDE COMERCIANTES PROTEGIDOS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19008;REUNIAO COM OS CADASTRADOS NA REDE DE BANCOS PROTEGIDOS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19009;REUNIAO COM CADASTRADOS REDE PROPRIEDADES RURAIS PROTEGIDAS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19010;REUNIAO COM OS CADASTRADOS NA REDE DE INDUSTRIAS PROTEGIDAS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19011;REUNIAO COM OUTRAS REDES DE PROTECAO
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19099;OUTROS TIPOS DE REUNIÃO
A00000;ACOES DE DEFESA SOCIAL;A20000;VISITA TRANQUILIZADORA / POS-SINISTRO;A20000;VISITA TRANQUILIZADORA / POS-SINISTRO
A00000;ACOES DE DEFESA SOCIAL;A20000;VISITA TRANQUILIZADORA / POS-SINISTRO;A20000;VISITA TRANQUILIZADORA / POS-SINISTRO
A00000;ACOES DE DEFESA SOCIAL;A20001;VISITA TRANQUILIZADORA A VITIMAS DE CRIMES VIOLENTOS;A20001;VISITA TRANQUILIZADORA A VITIMAS DE CRIMES VIOLENTOS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21000;ACOES PREVENTIVAS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21001;VISITA CADASTRO/CONVITE REUNIAO REDE VIZINHOS PROTEGIDOS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21002;VISITA CADASTRO/CONVITE REUNIAO REDE COMERCIANTES PROTEGIDOS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21003;VISITA CADASTRO/CONVITE REUNIAO DA REDE DE BANCOS PROTEGIDOS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21004;VISITA CADASTRO/CONVITE REUNIAO REDE DE PROPRIEDADES RURAIS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21005;VISITA CADASTRO/CONVITE REUNIAO REDE INDUSTRIAS PROTEGIDAS
A00000;ACOES DE DEFESA SOCIAL;A21000;ACOES PREVENTIVAS;A21006;VISITA DE CADASTRO OU CONVITE PARA OUTRAS REDES DE PROTECAO
A00000;ACOES DE DEFESA SOCIAL;A22000;ACAO CIVICO-SOCIAL (ACISO);A22000;AÇÃO CÍVICO-SOCIAL (ACISO)
A00000;ACOES DE DEFESA SOCIAL;A30100;ENCAMINHAMENTO DE ANIMAIS AO ORGAO COMPETENTE;A30100;ENCAMINHA ANIMAL AO ORGAO COMPETENTE
A00000;ACOES DE DEFESA SOCIAL;A30100;ENCAMINHAMENTO DE ANIMAIS AO ORGAO COMPETENTE;A30100;ENCAMINHAMENTO DE ANIMAIS AO ORGAO COMPETENTE
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31201;DOMESTICO
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31201;RECOLHIMENTO DE ANIMAL DOMESTICO
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31202;EXOTICO
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31202;RECOLHIMENTO DE ANIMAL EXOTICO
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31203;SILVESTRE
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31203;RECOLHIMENTO DE ANIMAL SILVESTRE
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31204;ENTREGA VOLUNTARIA DE ANIMAL EXOTICO OU SILVESTRE
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31301;RECOLHIMENTO DE APETRECHO DE PESCA
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31302;RECOLHE MATERIAL P/ CACA/ APANHA DE ANIMAL
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31302;RECOLHIMENTO MAT. UTILIZADO P/ CACA/APANHA DE ANIMAIS
A00000;ACOES DE DEFESA SOCIAL;A31000;RECOLHIMENTO DE ANIMAL DOMESTICO;A31304;SOLTURA DE ANIMAIS SILVESTRES
A00000;ACOES DE DEFESA SOCIAL;A32000;DOACAO DE PESCADO, CARNES E PRODUTOS PERECIVEIS;A32000;DOACAO DE PESCADO, CARNES E PRODUTOS PERECIVEIS
A00000;ACOES DE DEFESA SOCIAL;A33000;DESTRUICAO AUT LEI MATERIAL PROIBIDO UTIL P/ CACA/PESCA;A33000;DESTRUICAO AUT LEI MATERIAL PROIBIDO UTIL P/ CACA/PESCA
A00000;ACOES DE DEFESA SOCIAL;A40000;REMOCAO DE VEICULO;A40001;APREENDIDO
A00000;ACOES DE DEFESA SOCIAL;A40000;REMOCAO DE VEICULO;A40001;REMOCAO DE VEICULO APREENDIDO
A00000;ACOES DE DEFESA SOCIAL;A40000;REMOCAO DE VEICULO;A40002;VEICULO OFICIAL
A00000;ACOES DE DEFESA SOCIAL;A40000;REMOCAO DE VEICULO;A40003;VEICULO PARTICULAR
A00000;ACOES DE DEFESA SOCIAL;A40999;REMOCAO DE OUTROS TIPOS DE VEICULOS;A40999;OUTROS TIPOS REMOCAO VEICULO (DISCRIMINAR NO HISTORICO)
A00000;ACOES DE DEFESA SOCIAL;A40999;REMOCAO DE OUTROS TIPOS DE VEICULOS;A40999;REMOCAO DE OUTROS TIPOS DE VEICULOS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80001;SOLICITAÇÃO DE ESCOLTA ARMADA ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80002;ESCOLTA HOSPITALAR ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80003;ESCOLTA VELÓRIOS ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80004;ESCOLTA MEDICA ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80005;ESCOLTA DE APOIO ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80006;ESCOLTA PARA UNIDADES PRISIONAIS ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80007;ESCOLTA FÓRUNS ATIPICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80008;DISPARO ACIDENTAL DE ARMA DE FOGO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80009;DISPARO DE ARMA DE FOGO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80010;DISPARO DE ARMA NÃO LETAL
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80011;USO DE IMPO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80012;USO DE ESPAGIDOR DE GAS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80013;ESCOLTA DISTRITOS POLICIAIS/DELEGACIA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80014;DOCUMENTAÇÃO ILEGÍVEL
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80015;VISITANTE NÃO CADASTRADO/CREDENCIADO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80016;ARMAMENTO DO ESTADO COM DEFEITO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80017;VISITANTE EM ATITUDE SUSPEITA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80018;VISITANTE A UNIDADE EM ATITUDE SUSPEITA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80019;SUBVERSÃO A ORDEM
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80020;INICIO DE MOTIM
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80021;INICIO DE REBELIÃO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80022;FOGO NO INTERIOR DA CELA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80023;FOGO EM ROUPAS / COBERTORES / LENÇÓIS / TOALHAS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80024;TENTATIVA DE FUGA FORÇADA COM VIOLÊNCIA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80025;TENTATIVA DE FUGA FORÇADA SEM VIOLÊNCIA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80026;TENTATIVA DE FUGA FORÇADA POR TRANSPOSIÇÃO DE BARREIRA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80027;REVISTA INTERIOR DAS CELAS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80028;CONFERENCIA DE ESTRUTURA FÍSICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80029;LOCALIZAÇÃO DE BURACOS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80030;LOCALIZAÇÃO TÚNEL
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80031;MATERIAL / OBJETO NÃO PERMITIDO NO INTERIOR DA CELA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80032;VIATURA INOPERANTE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80033;VIATURA APRESENTOU PROBLEMAS MECÂNICOS DURANTE ESCOLTA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80034;DANO CAUSADO A VIATURA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80035;MATERIAL BÉLICO COM DATA DE VALIDADE VENCIDA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80036;MATERIAL BÉLICO DANIFICADO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80037;EQUIPAMENTO DE SEGURANÇA COM DATA DE VALIDADE VENCIDA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80038;ABANDONO DE POSTO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80039;MATERIAL ARREMESSADO DE FORA PARA DENTRO DA UNIDADE PRISIONA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80040;MATERIAL ARREMESSADO DE DENTRO PARA FORA DA UNIDADE PRISIONA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80041;MATERIAL ARREMESSADO ENTRE PAVILHÕES / BLOCOS/ ALAS / CELAS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80042;MATERIAL ARREMESSADO DENTRO DO PÁTIO DE VISITA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80043;MEDICAMENTO NÃO AUTORIZADO NO INTERIOR DA CELA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80044;PRODUÇÃO DE BEBIDA ALCOÓLICA ARTESANAL
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80045;APREENSÃO DE MATERIAL ARTESANAL PARA AQUECIMENTO DE ÁGUA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80046;REGISTRO DE OCORRÊNCIA DE LOCALIZAÇÃO DE PRESO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80047;UTILIZAR BEM MATERIAL E OBJETO DO ESTABELECIMENTO EM PROVEIT
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80048;TRANSITAR PELAS DEPENDÊNCIAS DA UNIDADE, DESOBEDECENDO AS NO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80049;DESOBEDECER A PRESCRIÇÃO MÉDICA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80050;RECUSANDO O TRATAMENTO MEDICO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80051;DESLEIXAR COM A HIGIENE PESSOAL
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80052;ATRASO INJUSTIFICADO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80053;ABORDAR PESSOA SEM A DEVIDA AUTORIZAÇÃO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80054;COMERCIALIZAR, DENTRO DA UNIDADE PRISIONAL, QUALQUER TIPO DE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80055;FALTAR A VERDADE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80056;FORMULAR QUEIXA OU RECLAMAÇÃO IMPROCEDENTE, REVELADORA DE MO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80057;RECUSAR CONVOCAÇÃO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80058;FALTA TREINAMENTO/RECIGLAGEM
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80059;ENTREGAR OU RECEBER OBJETO DE QUALQUER NATUREZA SEM A DEVIDA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80060;EFETUAR LIGAÇÃO DE TELEFONE FIXO SEM AUTORIZAÇÃO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80061;UTILIZAR MEIOS ESCUSOS PARA ENVIO DE CORRESPONDÊNCIA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80062;IMPEDIR OU DIFICULTAR BUSCA PESSOAL/CELA/ ALOJAMENTO OU EM Q
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80063;PROCEDER DE MODO GROSSEIRO/DESREPEITOSO COM VISITANTE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80064;ENTRAR OU PERMANECER EM ÁREAS ADMINISTRATIVAS DA UNIDADE PRI
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80065;PROVOCAR ACIDENTE DE TRABALHO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80066;RECUSAR, SEM MOTIVO JUSTO, TRABALHO QUE LHE FOR DETERMINADO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80067;DESOBEDECER A ORDEM LEGAL
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80068;SIMULAR DOENÇA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80069;FALTA INJUSTIFICADO AO TRABALHO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80070;SAIDA ANTECIPADA
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80071;SOLICITAR APOIO A OUTRA UNIDADE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80072;APOIO DO COPE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80073;APOIO DO GRUPAMENTO GIR
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80074;APOIO A OUTRA UNIDADE
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80075;TRANSFERENCIA DE PRESO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80076;DESLEIXO COM UNIFORME/FARDAMENTO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80077;EXTRAVIO DE MUNIÇÕES
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80078;EXTRAVIO DE MATERIAL BELICO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80079;EXTRAVIO DE DOCUMENTOS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80080;EXTRAVIO DE DADOS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80081;PERDA DE ARQUIVOS
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80082;COMPUTADORES COM DEFEITO
A00000;ACOES DE DEFESA SOCIAL;A80000;OCORRENCIAS - TIPICAS PRISIONAL E SOCIOEDUCATIVO;A80083;DENUNCIA DE PRESO
