Número REDS;Órgão Unidade Registro
2018-000620445-001;POLICIA MILITAR
2018-000631248-001;POLICIA MILITAR
2018-000670470-001;POLICIA MILITAR
2018-000679080-001;POLICIA MILITAR
2018-000682030-001;POLICIA MILITAR
2018-000687045-001;POLICIA MILITAR
2018-000701865-001;POLICIA MILITAR
2018-000982972-001;POLICIA CIVIL
2018-000998492-001;POLICIA CIVIL
2018-001141684-001;POLICIA CIVIL
2018-002037570-001;POLICIA CIVIL
2018-000724779-001;POLICIA MILITAR
2018-000753470-001;POLICIA MILITAR
2018-000754957-001;POLICIA MILITAR
2018-000775335-001;POLICIA MILITAR
2018-000776669-001;POLICIA MILITAR
2018-000816180-001;POLICIA MILITAR
2018-000825453-001;POLICIA MILITAR
2018-000840148-001;POLICIA MILITAR
2018-000865260-001;POLICIA MILITAR
2018-000873897-001;POLICIA MILITAR
2018-000881930-001;POLICIA MILITAR
2018-000892878-001;POLICIA MILITAR
2018-000897777-001;POLICIA MILITAR
2018-000897777-002;POLICIA CIVIL
2018-000901002-001;POLICIA MILITAR
2018-000924769-001;POLICIA MILITAR
2018-000929207-001;POLICIA MILITAR
2018-000935518-001;POLICIA MILITAR
2018-000948260-001;POLICIA MILITAR
2018-000992649-001;POLICIA MILITAR
2018-000954122-001;POLICIA MILITAR
2018-000954765-001;POLICIA MILITAR
2018-000965843-001;POLICIA MILITAR
2018-000966456-001;POLICIA MILITAR
2018-000969657-001;POLICIA MILITAR
2018-000974794-001;POLICIA MILITAR
2018-001006804-001;POLICIA MILITAR
2018-001008662-001;POLICIA MILITAR
2018-001094923-001;POLICIA MILITAR
2018-001138349-001;POLICIA CIVIL
2018-001153362-001;POLICIA CIVIL
2018-001199478-001;POLICIA CIVIL
2018-001166753-001;POLICIA MILITAR
2018-001258634-001;POLICIA MILITAR
2018-001269374-001;POLICIA MILITAR
2018-001272218-001;POLICIA MILITAR
2018-001341107-001;POLICIA CIVIL
2018-001351695-001;POLICIA MILITAR
2018-001564249-001;POLICIA CIVIL
2018-002117654-001;POLICIA MILITAR
2018-001294807-001;POLICIA MILITAR
2018-001317230-001;POLICIA CIVIL
2018-001354329-001;POLICIA MILITAR
2018-001375625-001;POLICIA MILITAR
2018-001400410-001;POLICIA MILITAR
2018-002099754-001;POLICIA CIVIL
2018-001447875-001;POLICIA MILITAR
2018-001461602-001;POLICIA CIVIL
2018-001488620-001;POLICIA MILITAR
2018-001489036-001;POLICIA MILITAR
2018-001504835-001;POLICIA MILITAR
2018-001555627-001;POLICIA MILITAR
2018-001557670-001;POLICIA MILITAR
2018-001576321-001;POLICIA MILITAR
2018-001797765-001;POLICIA MILITAR
2018-002049402-001;POLICIA MILITAR
2018-002181432-001;POLICIA CIVIL
2018-004160745-001;POLICIA CIVIL
2018-001631217-001;POLICIA MILITAR
2018-001631665-001;POLICIA MILITAR
2018-001635018-001;POLICIA MILITAR
2018-001644504-001;POLICIA MILITAR
2018-001645277-001;POLICIA MILITAR
2018-001654791-001;POLICIA MILITAR
2018-001674303-001;POLICIA MILITAR
2018-001759104-001;POLICIA MILITAR
2018-001796219-001;POLICIA MILITAR
2018-005770473-001;POLICIA CIVIL
2018-011732651-001;POLICIA CIVIL
2018-001758260-001;POLICIA MILITAR
2018-001773227-001;POLICIA MILITAR
2018-001782438-001;POLICIA MILITAR
2018-001785654-001;POLICIA MILITAR
2018-001809878-001;POLICIA MILITAR
2018-001868807-001;POLICIA MILITAR
2018-001876779-001;POLICIA MILITAR
2018-001934787-001;POLICIA MILITAR
2018-002680455-001;POLICIA MILITAR
2018-001883940-001;POLICIA MILITAR
2018-001883980-001;POLICIA MILITAR
2018-001888498-001;POLICIA MILITAR
2018-001889386-001;POLICIA MILITAR
2018-001906868-001;POLICIA MILITAR
2018-001960716-001;POLICIA MILITAR
2018-001978787-001;POLICIA MILITAR
2018-002017175-001;POLICIA MILITAR
2018-002032208-001;POLICIA MILITAR
2018-002062680-001;POLICIA MILITAR
2018-002064285-001;POLICIA MILITAR
2018-002072240-001;POLICIA CIVIL
2018-002072974-001;POLICIA MILITAR
2018-002084940-001;POLICIA MILITAR
2018-002103165-001;POLICIA MILITAR
2018-002108092-001;POLICIA MILITAR
2018-002152077-001;POLICIA MILITAR
2018-002198611-001;POLICIA MILITAR
2018-002200506-001;POLICIA MILITAR
2018-002192066-001;POLICIA MILITAR
2018-002192592-001;POLICIA MILITAR
2018-002201933-001;POLICIA MILITAR
2018-002218718-001;POLICIA MILITAR
2018-002219255-001;POLICIA MILITAR
2018-002222170-001;POLICIA MILITAR
2018-002224966-001;POLICIA MILITAR
2018-002230989-001;POLICIA MILITAR
2018-002231102-001;POLICIA MILITAR
2018-002243921-001;POLICIA MILITAR
2018-002286290-001;POLICIA MILITAR
2018-002306224-001;POLICIA MILITAR
2018-002345613-001;POLICIA MILITAR
2018-002518052-001;POLICIA CIVIL
2018-003087547-001;POLICIA CIVIL
2018-002348749-001;POLICIA MILITAR
2018-002349022-001;POLICIA MILITAR
2018-002355017-001;POLICIA MILITAR
2018-002362859-001;POLICIA CIVIL
2018-002404914-001;POLICIA MILITAR
2018-002416934-001;POLICIA MILITAR
2018-002439246-001;POLICIA MILITAR
2018-002469465-001;POLICIA MILITAR
2018-002486133-001;POLICIA MILITAR
2018-002516614-001;POLICIA CIVIL
2018-002517255-001;POLICIA CIVIL
2018-002486240-001;POLICIA MILITAR
2018-002519921-001;POLICIA MILITAR
2018-002524140-001;POLICIA CIVIL
2018-002532632-001;POLICIA MILITAR
2018-002542170-001;POLICIA MILITAR
2018-002574480-001;POLICIA CIVIL
2018-002600492-001;POLICIA MILITAR
2018-002609675-001;POLICIA MILITAR
2018-002668015-001;POLICIA MILITAR
2018-002686779-001;POLICIA MILITAR
2018-002700956-001;POLICIA MILITAR
2018-002720929-001;POLICIA MILITAR
2018-002723556-001;POLICIA MILITAR
2018-002730075-001;POLICIA MILITAR
2018-002741454-001;POLICIA MILITAR
2018-002745803-001;POLICIA MILITAR
2018-002746955-001;POLICIA MILITAR
2018-002765152-001;POLICIA MILITAR
2018-004374412-001;POLICIA MILITAR
2018-007519207-001;POLICIA CIVIL
2018-002824178-001;POLICIA MILITAR
2018-002827836-001;POLICIA MILITAR
2018-002833558-001;POLICIA MILITAR
2018-002843330-001;POLICIA MILITAR
2018-002872661-001;POLICIA MILITAR
2018-002896266-001;POLICIA MILITAR
2018-002897496-001;POLICIA MILITAR
2018-002898750-001;POLICIA MILITAR
2018-002919275-001;POLICIA MILITAR
2018-002927795-001;POLICIA MILITAR
2018-002932954-001;POLICIA MILITAR
2018-002954534-001;POLICIA MILITAR
2018-002969021-001;POLICIA MILITAR
2018-003022959-001;POLICIA MILITAR
2018-003025573-001;POLICIA MILITAR
2018-003302314-001;POLICIA CIVIL
2018-003055491-001;POLICIA MILITAR
2018-003067756-001;POLICIA MILITAR
2018-003080649-001;POLICIA MILITAR
2018-003082860-001;POLICIA MILITAR
2018-003095502-001;POLICIA MILITAR
2018-003108334-001;POLICIA MILITAR
2018-003146352-001;POLICIA MILITAR
2018-003199955-001;POLICIA MILITAR
2018-003200936-001;POLICIA MILITAR
2018-003215568-001;POLICIA MILITAR
2018-003244334-001;POLICIA MILITAR
2018-003232490-001;POLICIA MILITAR
2018-003243277-001;POLICIA MILITAR
2018-003289840-001;POLICIA CIVIL
2018-003307906-001;POLICIA MILITAR
2018-003343308-001;POLICIA MILITAR
2018-003406754-001;POLICIA CIVIL
2018-003748074-001;POLICIA CIVIL
2018-005602860-001;POLICIA CIVIL
2018-007886267-001;POLICIA CIVIL
2018-003396666-001;POLICIA MILITAR
2018-003399161-001;POLICIA MILITAR
2018-003401749-001;POLICIA MILITAR
2018-003405117-001;POLICIA CIVIL
2018-003408571-001;POLICIA MILITAR
2018-003411835-001;POLICIA MILITAR
2018-003422309-001;POLICIA MILITAR
2018-003430214-001;POLICIA MILITAR
2018-003446299-001;POLICIA MILITAR
2018-003489827-001;POLICIA MILITAR
2018-003497011-001;POLICIA MILITAR
2018-003514077-001;POLICIA MILITAR
2018-003582299-001;POLICIA CIVIL
2018-003628155-001;POLICIA CIVIL
2018-003798331-001;POLICIA MILITAR
2018-003562937-001;POLICIA MILITAR
2018-003569049-001;POLICIA MILITAR
2018-003591519-001;POLICIA MILITAR
2018-003607541-001;POLICIA CIVIL
2018-003635499-001;POLICIA CIVIL
2018-003669099-001;POLICIA MILITAR
2018-003685100-001;POLICIA MILITAR
2018-003686629-001;POLICIA MILITAR
2018-003739829-001;POLICIA CIVIL
2018-003743946-001;POLICIA MILITAR
2018-003779413-001;POLICIA CIVIL
2018-003787539-001;POLICIA CIVIL
2018-004322600-001;POLICIA CIVIL
2018-004397185-001;POLICIA CIVIL
2018-003751219-001;POLICIA MILITAR
2018-003758537-001;POLICIA MILITAR
2018-003774934-001;POLICIA CIVIL
2018-003809976-001;POLICIA MILITAR
2018-003812049-001;POLICIA MILITAR
2018-003813056-001;POLICIA MILITAR
2018-003844793-001;POLICIA MILITAR
2018-003854234-001;POLICIA MILITAR
2018-003862137-001;POLICIA MILITAR
2018-003862362-001;POLICIA MILITAR
2018-003906769-001;POLICIA MILITAR
2018-004691763-001;POLICIA CIVIL
2018-002612900-001;POLICIA MILITAR
2018-002956310-001;POLICIA MILITAR
2018-003905212-001;POLICIA MILITAR
2018-003917050-001;POLICIA MILITAR
2018-003923650-001;POLICIA MILITAR
2018-003923781-001;POLICIA MILITAR
2018-003952727-001;POLICIA MILITAR
2018-003965269-001;POLICIA MILITAR
2018-003971570-001;POLICIA MILITAR
2018-003971946-001;POLICIA MILITAR
2018-003973895-001;POLICIA MILITAR
2018-003976676-001;POLICIA MILITAR
2018-003988824-001;POLICIA MILITAR
2018-004006050-001;POLICIA MILITAR
2018-004139711-001;POLICIA CIVIL
2018-004239696-001;POLICIA MILITAR
2018-004491745-001;POLICIA MILITAR
2018-004004274-001;POLICIA MILITAR
2018-004010438-001;POLICIA MILITAR
2018-004021726-001;POLICIA MILITAR
2018-004023910-001;POLICIA MILITAR
2018-004024836-001;POLICIA MILITAR
2018-004035996-001;POLICIA MILITAR
2018-004051328-001;POLICIA MILITAR
2018-004068955-001;POLICIA MILITAR
2018-004077473-001;POLICIA MILITAR
2018-004096742-001;POLICIA MILITAR
2018-004097277-001;POLICIA MILITAR
2018-004098152-001;POLICIA MILITAR
2018-004119281-001;POLICIA MILITAR
2018-004133272-001;POLICIA MILITAR
2018-004139386-001;POLICIA MILITAR
2018-004161226-001;POLICIA MILITAR
2018-004168516-001;POLICIA CIVIL
2018-004175609-001;POLICIA MILITAR
2018-004176240-001;POLICIA MILITAR
2018-004184876-001;POLICIA MILITAR
2018-004195484-001;POLICIA CIVIL
2018-004208250-001;POLICIA MILITAR
2018-004211491-001;POLICIA MILITAR
2018-004234126-001;POLICIA MILITAR
2018-004250025-001;POLICIA MILITAR
2018-004256392-001;POLICIA MILITAR
2018-004512730-001;POLICIA CIVIL
2018-004314002-001;POLICIA MILITAR
2018-004327211-001;POLICIA MILITAR
2018-004356110-001;POLICIA MILITAR
2018-004387058-001;POLICIA MILITAR
2018-004387619-001;POLICIA MILITAR
2018-004395812-001;POLICIA MILITAR
2018-004396648-001;POLICIA CIVIL
2018-004398424-001;POLICIA CIVIL
2018-004428071-001;POLICIA MILITAR
2018-004432509-001;POLICIA MILITAR
2018-004432602-001;POLICIA MILITAR
2018-004454026-001;POLICIA MILITAR
2018-004555315-001;POLICIA CIVIL
2018-004850218-001;POLICIA CIVIL
2018-004877396-001;POLICIA CIVIL
2018-004497770-001;POLICIA CIVIL
2018-004502879-001;POLICIA MILITAR
2018-004533986-001;POLICIA MILITAR
2018-004570670-001;POLICIA MILITAR
2018-004575987-001;POLICIA MILITAR
2018-004584780-001;POLICIA MILITAR
2018-004587430-001;POLICIA MILITAR
2018-004591178-001;POLICIA MILITAR
2018-004600600-001;POLICIA MILITAR
2018-004638158-001;POLICIA MILITAR
2018-004650804-001;POLICIA MILITAR
2018-004705470-001;POLICIA MILITAR
2019-001118651-001;POLICIA CIVIL
2018-004652164-001;POLICIA MILITAR
2018-004664576-001;POLICIA MILITAR
2018-004676802-001;POLICIA MILITAR
2018-004687107-001;POLICIA MILITAR
2018-004698176-001;POLICIA MILITAR
2018-004701849-001;POLICIA CIVIL
2018-004704814-001;POLICIA MILITAR
2018-004714939-001;POLICIA MILITAR
2018-004722108-001;POLICIA MILITAR
2018-004773400-001;POLICIA MILITAR
2018-005251293-001;POLICIA CIVIL
2018-005259324-001;POLICIA CIVIL
2018-005407164-001;POLICIA CIVIL
2018-005830781-001;POLICIA CIVIL
2018-007900457-001;POLICIA CIVIL
2018-009579010-001;POLICIA MILITAR
2018-004849646-001;POLICIA MILITAR
2018-004855067-001;POLICIA CIVIL
2018-004859381-001;POLICIA MILITAR
2018-004939935-001;POLICIA MILITAR
2018-004965028-001;POLICIA MILITAR
2018-004970726-001;POLICIA MILITAR
2018-005000126-001;POLICIA MILITAR
2018-005005630-001;POLICIA MILITAR
2018-005008150-001;POLICIA MILITAR
2018-005028569-001;POLICIA MILITAR
2018-005120296-001;POLICIA MILITAR
2018-005175214-001;POLICIA MILITAR
2018-005193937-001;POLICIA MILITAR
2018-005215101-001;POLICIA MILITAR
2018-005297721-001;POLICIA MILITAR
2018-006886181-001;POLICIA CIVIL
2018-005208400-001;POLICIA MILITAR
2018-005229920-001;POLICIA MILITAR
2018-005244248-001;POLICIA CIVIL
2018-005251252-001;POLICIA MILITAR
2018-005285805-001;POLICIA MILITAR
2018-005301026-001;POLICIA CIVIL
2018-005302910-001;POLICIA MILITAR
2018-005330002-001;POLICIA MILITAR
2018-005344599-001;POLICIA MILITAR
2018-005351142-001;POLICIA MILITAR
2018-005354500-001;POLICIA MILITAR
2018-005507762-001;POLICIA MILITAR
2018-005609768-001;POLICIA CIVIL
2018-005421848-001;POLICIA MILITAR
2018-005451857-001;POLICIA MILITAR
2018-005475687-001;POLICIA MILITAR
2018-005531787-001;POLICIA MILITAR
2018-005536620-001;POLICIA MILITAR
2018-005575185-001;POLICIA CIVIL
2018-005635816-001;POLICIA CIVIL
2018-005776286-001;POLICIA CIVIL
2018-005569620-001;POLICIA MILITAR
2018-005580946-001;POLICIA MILITAR
2018-005608553-001;POLICIA MILITAR
2018-005612066-001;POLICIA MILITAR
2018-005624242-001;POLICIA MILITAR
2018-005697692-001;POLICIA MILITAR
2018-005708798-001;POLICIA MILITAR
2018-005719023-001;POLICIA MILITAR
2018-005758438-001;POLICIA CIVIL
2018-005782227-001;POLICIA CIVIL
2018-005951389-001;POLICIA CIVIL
2018-006011478-001;POLICIA CIVIL
2018-006011478-002;POLICIA CIVIL
2018-005733631-001;POLICIA MILITAR
2018-005791347-001;POLICIA MILITAR
2018-005820460-001;POLICIA CIVIL
2018-005827026-001;POLICIA MILITAR
2018-005843815-001;POLICIA MILITAR
2018-005875250-001;POLICIA MILITAR
2018-005890925-001;POLICIA MILITAR
2018-005903036-001;POLICIA MILITAR
2018-005955556-001;POLICIA CIVIL
2018-007092790-001;POLICIA CIVIL
2018-007522295-001;POLICIA CIVIL
2018-009449502-001;POLICIA CIVIL
2018-005926946-001;POLICIA MILITAR
2018-005932696-001;POLICIA MILITAR
2018-005953481-001;POLICIA MILITAR
2018-006011333-001;POLICIA MILITAR
2018-006018021-001;POLICIA MILITAR
2018-006046408-001;POLICIA MILITAR
2018-006050672-001;POLICIA MILITAR
2018-006068711-001;POLICIA MILITAR
2018-007120040-001;POLICIA MILITAR
2018-052832645-001;POLICIA CIVIL
2018-006090740-001;POLICIA MILITAR
2018-006123306-001;POLICIA MILITAR
2018-006124473-001;POLICIA MILITAR
2018-006142789-001;POLICIA MILITAR
2018-006170808-001;POLICIA MILITAR
2018-006190053-001;POLICIA MILITAR
2018-006278986-001;POLICIA MILITAR
2018-006962110-001;POLICIA CIVIL
2018-006253772-001;POLICIA MILITAR
2018-006270228-001;POLICIA MILITAR
2018-006342409-001;POLICIA MILITAR
2018-006347496-001;POLICIA MILITAR
2018-006447399-001;POLICIA MILITAR
2018-006466103-001;POLICIA MILITAR
2018-006481428-001;POLICIA MILITAR
2018-006489910-001;POLICIA MILITAR
2018-006512026-001;POLICIA MILITAR
2018-006522623-001;POLICIA MILITAR
2018-006523511-001;POLICIA MILITAR
2018-006554839-001;POLICIA MILITAR
2018-006570270-001;POLICIA MILITAR
2018-006575010-001;POLICIA MILITAR
2018-006575546-001;POLICIA MILITAR
2018-006579650-001;POLICIA MILITAR
2018-006593485-001;POLICIA MILITAR
2018-006651885-001;POLICIA MILITAR
2018-006667299-001;POLICIA MILITAR
2018-006681292-001;POLICIA MILITAR
2018-006952822-001;POLICIA CIVIL
2018-007070878-001;POLICIA CIVIL
2018-006758435-001;POLICIA MILITAR
2018-006777416-001;POLICIA MILITAR
2018-006812824-001;POLICIA MILITAR
2018-006865812-001;POLICIA MILITAR
2018-006911328-001;POLICIA MILITAR
2018-006928498-001;POLICIA MILITAR
2018-006947951-001;POLICIA MILITAR
2018-006964792-001;POLICIA MILITAR
2018-006965442-001;POLICIA MILITAR
2018-007076743-001;POLICIA CIVIL
2018-007090628-001;POLICIA CIVIL
2018-007097294-001;POLICIA MILITAR
2018-007047648-001;POLICIA MILITAR
2018-007054245-001;POLICIA MILITAR
2018-007122760-001;POLICIA MILITAR
2018-007150873-001;POLICIA MILITAR
2018-007162865-001;POLICIA MILITAR
2018-007167933-001;POLICIA MILITAR
2018-007220726-001;POLICIA MILITAR
2018-007257226-001;POLICIA MILITAR
2018-007301804-001;POLICIA MILITAR
2018-007725880-001;POLICIA CIVIL
2018-007225891-001;POLICIA MILITAR
2018-007331027-001;POLICIA MILITAR
2018-007353710-001;POLICIA MILITAR
2018-007360029-001;POLICIA MILITAR
2018-006886203-001;POLICIA CIVIL
2018-007375644-001;POLICIA MILITAR
2018-007380766-001;POLICIA MILITAR
2018-007398181-001;POLICIA MILITAR
2018-007400546-001;POLICIA MILITAR
2018-007410200-001;POLICIA MILITAR
2018-007411702-001;POLICIA MILITAR
2018-007428991-001;POLICIA MILITAR
2018-007450136-001;POLICIA MILITAR
2018-007478629-001;POLICIA MILITAR
2018-007518964-001;POLICIA MILITAR
2018-007543037-001;POLICIA MILITAR
2018-007551061-001;POLICIA MILITAR
2018-007587591-001;POLICIA CIVIL
2018-007628559-001;POLICIA MILITAR
2018-007989270-001;POLICIA MILITAR
2018-008978173-001;POLICIA CIVIL
2018-009087475-001;POLICIA CIVIL
2018-010813695-001;POLICIA MILITAR
2018-007090628-002;POLICIA CIVIL
2018-007692114-001;POLICIA MILITAR
2018-007702018-001;POLICIA MILITAR
2018-007716864-001;POLICIA MILITAR
2018-007724152-001;POLICIA MILITAR
2018-007813211-001;POLICIA MILITAR
2018-007835280-001;POLICIA MILITAR
2018-007854259-001;POLICIA MILITAR
2018-007883943-001;POLICIA CIVIL
2018-007877855-001;POLICIA MILITAR
2018-007918565-001;POLICIA MILITAR
2018-007925119-001;POLICIA MILITAR
2018-007947448-001;POLICIA CIVIL
2018-007962998-001;POLICIA MILITAR
2018-007982672-001;POLICIA MILITAR
2018-007989646-001;POLICIA MILITAR
2018-008014043-001;POLICIA MILITAR
2018-008025238-001;POLICIA MILITAR
2018-008029355-001;POLICIA MILITAR
2018-008061272-001;POLICIA CIVIL
2018-008306390-001;POLICIA CIVIL
2018-008907625-001;POLICIA CIVIL
2018-009149020-001;POLICIA CIVIL
2018-008038895-001;POLICIA MILITAR
2018-008052165-001;POLICIA MILITAR
2018-008055416-001;POLICIA MILITAR
2018-008069175-001;POLICIA MILITAR
2018-008099197-001;POLICIA MILITAR
2018-008101129-001;POLICIA MILITAR
2018-008129220-001;POLICIA CIVIL
2018-008214635-001;POLICIA MILITAR
2018-008246944-001;POLICIA CIVIL
2018-008287728-001;POLICIA CIVIL
2018-008281668-001;POLICIA MILITAR
2018-008294403-001;POLICIA MILITAR
2018-008300261-001;POLICIA MILITAR
2018-008322430-001;POLICIA MILITAR
2018-008351759-001;POLICIA MILITAR
2018-008355757-001;POLICIA MILITAR
2018-008356632-001;POLICIA MILITAR
2018-008356699-001;POLICIA MILITAR
2018-008358657-001;POLICIA MILITAR
2018-008389015-001;POLICIA MILITAR
2018-008466803-001;POLICIA MILITAR
2018-008796627-001;POLICIA MILITAR
2018-009132092-001;POLICIA CIVIL
2018-008438220-001;POLICIA MILITAR
2018-008453676-001;POLICIA MILITAR
2018-008474578-001;POLICIA MILITAR
2018-008499270-001;POLICIA MILITAR
2018-008660326-001;POLICIA MILITAR
2018-008745008-001;POLICIA CIVIL
2018-008776996-001;POLICIA CIVIL
2018-008965644-001;POLICIA CIVIL
2018-008750054-001;POLICIA CIVIL
2018-008659046-001;POLICIA MILITAR
2018-008721641-001;POLICIA MILITAR
2018-008725089-001;POLICIA MILITAR
2018-008796549-001;POLICIA MILITAR
2018-008833079-001;POLICIA MILITAR
2018-019589173-001;POLICIA MILITAR
2018-008871450-001;POLICIA MILITAR
2018-008938732-001;POLICIA MILITAR
2018-008955636-001;POLICIA MILITAR
2018-009012656-001;POLICIA MILITAR
2018-009017962-001;POLICIA MILITAR
2018-009027732-001;POLICIA MILITAR
2018-009068585-001;POLICIA MILITAR
2018-009475620-001;POLICIA CIVIL
2018-009044833-001;POLICIA MILITAR
2018-009057140-001;POLICIA MILITAR
2018-009067734-001;POLICIA MILITAR
2018-009114965-001;POLICIA MILITAR
2018-009174325-001;POLICIA MILITAR
2018-009188905-001;POLICIA MILITAR
2018-009209395-001;POLICIA MILITAR
2018-009446931-001;POLICIA MILITAR
2018-010303500-001;POLICIA MILITAR
2018-009055229-001;POLICIA MILITAR
2018-009279274-001;POLICIA MILITAR
2018-009280360-001;POLICIA CIVIL
2018-009339751-001;POLICIA MILITAR
2018-009344585-001;POLICIA MILITAR
2018-009366111-001;POLICIA MILITAR
2018-009399936-001;POLICIA MILITAR
2018-009417717-001;POLICIA MILITAR
2018-009526692-001;POLICIA MILITAR
2018-013017562-001;POLICIA CIVIL
2018-015310928-001;POLICIA CIVIL
2018-017215706-001;POLICIA MILITAR
2018-009472052-001;POLICIA MILITAR
2018-009487875-001;POLICIA MILITAR
2018-009510451-001;POLICIA CIVIL
2018-009518670-001;POLICIA MILITAR
2018-009533731-001;POLICIA MILITAR
2018-009655781-001;POLICIA MILITAR
2018-009626777-001;POLICIA MILITAR
2018-009650722-001;POLICIA MILITAR
2018-009694525-001;POLICIA MILITAR
2018-009708414-001;POLICIA MILITAR
2018-010139620-001;POLICIA CIVIL
2018-009732062-001;POLICIA MILITAR
2018-009751554-001;POLICIA MILITAR
2018-009915685-001;POLICIA CIVIL
2018-010515720-001;POLICIA CIVIL
2018-018254936-001;POLICIA CIVIL
2018-009890006-001;POLICIA MILITAR
2018-009907180-001;POLICIA MILITAR
2018-009909571-001;POLICIA MILITAR
2018-009940648-001;POLICIA MILITAR
2018-010104135-001;POLICIA CIVIL
2018-010717788-001;POLICIA CIVIL
2018-010120229-001;POLICIA MILITAR
2018-010161030-001;POLICIA MILITAR
2018-010161360-001;POLICIA MILITAR
2018-010175610-001;POLICIA MILITAR
2018-010208402-001;POLICIA MILITAR
2018-010213762-001;POLICIA MILITAR
2018-010217171-001;POLICIA MILITAR
2018-010239431-001;POLICIA MILITAR
2018-010271910-001;POLICIA CIVIL
2018-010284869-001;POLICIA CIVIL
2018-010500719-001;POLICIA MILITAR
2018-016839511-001;POLICIA CIVIL
2018-010314657-001;POLICIA MILITAR
2018-010333506-001;POLICIA CIVIL
2018-010333562-001;POLICIA MILITAR
2018-010339648-001;POLICIA MILITAR
2018-010344287-001;POLICIA MILITAR
2018-010350046-001;POLICIA CIVIL
2018-010366196-001;POLICIA MILITAR
2018-010387191-001;POLICIA MILITAR
2018-010412169-001;POLICIA MILITAR
2018-010429125-001;POLICIA MILITAR
2018-011345157-001;POLICIA CIVIL
2018-012897020-001;POLICIA CIVIL
2018-026228894-001;POLICIA CIVIL
2018-010434548-001;POLICIA MILITAR
2018-010469547-001;POLICIA MILITAR
2018-010476811-001;POLICIA MILITAR
2018-010491653-001;POLICIA MILITAR
2018-010544223-001;POLICIA MILITAR
2018-010544418-001;POLICIA MILITAR
2018-010549765-001;POLICIA MILITAR
2018-010717117-001;POLICIA MILITAR
2018-011148292-001;POLICIA CIVIL
2018-011431933-001;POLICIA MILITAR
2018-010631170-001;POLICIA MILITAR
2018-010658461-001;POLICIA MILITAR
2018-010677141-001;POLICIA MILITAR
2018-010709621-001;POLICIA MILITAR
2018-010725076-001;POLICIA MILITAR
2018-010840986-001;POLICIA MILITAR
2018-010822655-001;POLICIA MILITAR
2018-010858345-001;POLICIA MILITAR
2018-010858843-001;POLICIA MILITAR
2018-010872994-001;POLICIA MILITAR
2018-010912628-001;POLICIA MILITAR
2018-011712770-001;POLICIA CIVIL
2018-012493973-001;POLICIA CIVIL
2018-015276122-001;POLICIA CIVIL
2018-010956552-001;POLICIA MILITAR
2018-010958276-001;POLICIA MILITAR
2018-010994436-001;POLICIA MILITAR
2018-011000439-001;POLICIA MILITAR
2018-011492536-001;POLICIA CIVIL
2018-011066610-001;POLICIA MILITAR
2018-011078684-001;POLICIA MILITAR
2018-011108234-001;POLICIA MILITAR
2018-011132428-001;POLICIA MILITAR
2018-011169426-001;POLICIA MILITAR
2018-011204888-001;POLICIA MILITAR
2018-011212921-001;POLICIA MILITAR
2018-011226260-001;POLICIA MILITAR
2018-011236961-001;POLICIA MILITAR
2018-011709735-001;POLICIA CIVIL
2018-012298161-001;POLICIA CIVIL
2018-011265359-001;POLICIA MILITAR
2018-011296845-001;POLICIA MILITAR
2018-011326897-001;POLICIA MILITAR
2018-011333964-001;POLICIA MILITAR
2018-011342310-001;POLICIA MILITAR
2018-011349049-001;POLICIA MILITAR
